Total Pop,Males < 5,Males 5-9,Males 10-14,Males 15-17,Females < 5,Females 5-9,Females 10-14,Females 15-17,# Foreign Born,Overseas Move Past Year,Total Fam HH,1-person Fam HH,2-person Fam HH,3-person Fam HH,4-person Fam HH,5-person Fam HH,6-person Fam HH,7+-person Fam HH,Total non-Fam HH,1-person non-Fam HH,2-person non-Fam HH,3-person non-Fam HH,4-person non-Fam HH,5-person non-Fam HH,6-person non-Fam HH,7+-person non-Fam HH,Total Female Population,Women 15-50 Who've Given Birth,Total Male Public School,Male Public Age 3-4,Male Public Age 5-9,Male Public Age 10-14,Male Public Age 15-17,Total Male Private School,Male Private Age 3-4,Male Private Age 5-9,Male Private Age 10-14,Male Private Age 15-17,Total Male Not Enrolled,Male Not Enrolled Age 3-4,Male Not Enrolled Age 5-9,Male Not Enrolled Age 10-14,Male Not Enrolled Age 15-17,Total Female Public School,Female Public Age 3-4,Female Public Age 5-9,Female Public Age 10-14,Female Public Age 15-17,Total Female Private School,Female Private Age 3-4,Female Private Age 5-9,Female Private Age 10-14,Female Private Age 15-17,Total Female Not Enrolled,Female Not Enrolled Age 3-4,Female Not Enrolled Age 5-9,Female Not Enrolled Age 10-14,Female Not Enrolled Age 15-17,Total Below Poverty Level Ages 3+,Below Poverty Level Enrolled in School Ages 3+,Below Poverty Level Not Enrolled Ages 3+,NAME,county,state
28029.0,1063.0,1065.0,1149.0,671.0,941.0,863.0,1147.0,691.0,5028.0,85.0,9497.0,6502.0,2455.0,1308.0,1599.0,689.0,356.0,95.0,2995.0,2610.0,341.0,16.0,28.0,0.0,0.0,0.0,6169.0,378.0,3323.0,72.0,835.0,1054.0,616.0,256.0,54.0,134.0,51.0,7.0,9819.0,167.0,96.0,44.0,48.0,3631.0,143.0,746.0,1027.0,657.0,301.0,8.0,98.0,120.0,17.0,9512.0,373.0,19.0,0.0,17.0,5386.0,2041.0,3345.0,"Glenn County, California",021,06
135034.0,3779.0,4135.0,3352.0,2181.0,3586.0,3581.0,3531.0,2299.0,7771.0,225.0,53036.0,30661.0,15161.0,7079.0,4979.0,2355.0,649.0,438.0,22375.0,16545.0,4586.0,738.0,397.0,53.0,27.0,29.0,32401.0,1698.0,16696.0,735.0,3755.0,3096.0,1951.0,1308.0,183.0,310.0,229.0,198.0,47543.0,875.0,70.0,27.0,32.0,16890.0,354.0,3211.0,3331.0,2133.0,1256.0,254.0,199.0,174.0,71.0,47135.0,758.0,171.0,26.0,95.0,27125.0,10979.0,16146.0,"Humboldt County, California",023,06
178206.0,7538.0,6888.0,7228.0,4520.0,7121.0,7216.0,6435.0,4076.0,58057.0,1555.0,46452.0,35874.0,9941.0,8611.0,8014.0,5107.0,2286.0,1915.0,10578.0,9060.0,1097.0,192.0,146.0,79.0,0.0,4.0,41438.0,2910.0,25116.0,1103.0,6386.0,7071.0,4265.0,1516.0,333.0,264.0,96.0,182.0,60115.0,1682.0,238.0,61.0,73.0,25206.0,1132.0,6569.0,6215.0,3981.0,1582.0,303.0,349.0,208.0,43.0,56234.0,1669.0,298.0,12.0,52.0,37419.0,14784.0,22635.0,"Imperial County, California",025,06
18373.0,535.0,508.0,546.0,367.0,540.0,413.0,578.0,340.0,1860.0,32.0,7957.0,4438.0,2468.0,882.0,611.0,356.0,85.0,36.0,3519.0,3048.0,403.0,42.0,9.0,0.0,0.0,17.0,3506.0,159.0,1740.0,56.0,439.0,502.0,360.0,194.0,33.0,66.0,41.0,7.0,6969.0,135.0,3.0,3.0,0.0,1777.0,131.0,359.0,567.0,335.0,204.0,51.0,48.0,8.0,0.0,6918.0,98.0,6.0,3.0,5.0,1887.0,530.0,1357.0,"Inyo County, California",027,06
865736.0,36856.0,36476.0,35391.0,21397.0,35742.0,36216.0,33428.0,20403.0,176115.0,3602.0,259700.0,196097.0,63136.0,40420.0,41615.0,27735.0,14515.0,8676.0,63603.0,50633.0,10419.0,1767.0,550.0,134.0,100.0,0.0,206708.0,13700.0,116429.0,4167.0,33046.0,33402.0,19795.0,10282.0,1365.0,1870.0,1522.0,1034.0,296477.0,9965.0,1560.0,467.0,568.0,114836.0,4103.0,32823.0,31520.0,19353.0,11438.0,1160.0,1803.0,1465.0,746.0,274544.0,10108.0,1590.0,443.0,304.0,180528.0,72886.0,107642.0,"Kern County, California",029,06
150998.0,6044.0,6292.0,5303.0,3343.0,6129.0,5655.0,5632.0,3228.0,28097.0,1040.0,41554.0,31863.0,10189.0,7739.0,5876.0,4091.0,2566.0,1402.0,9691.0,7296.0,1748.0,312.0,212.0,23.0,33.0,67.0,33199.0,2204.0,21032.0,813.0,5912.0,5101.0,3075.0,2752.0,182.0,216.0,172.0,177.0,56604.0,1479.0,164.0,30.0,91.0,19385.0,854.0,5283.0,5324.0,3087.0,1647.0,122.0,214.0,259.0,58.0,42527.0,1672.0,158.0,49.0,83.0,27799.0,11963.0,15836.0,"Kings County, California",031,06
64158.0,1852.0,1848.0,1818.0,1264.0,1784.0,1637.0,1794.0,1123.0,5759.0,121.0,26993.0,16103.0,7935.0,3775.0,2552.0,1106.0,375.0,360.0,10890.0,8362.0,2067.0,377.0,30.0,39.0,15.0,0.0,12473.0,838.0,6132.0,244.0,1591.0,1707.0,1121.0,631.0,112.0,153.0,94.0,100.0,24376.0,489.0,104.0,17.0,43.0,6116.0,236.0,1450.0,1601.0,1061.0,798.0,171.0,119.0,172.0,46.0,24206.0,485.0,68.0,21.0,16.0,14958.0,4358.0,10600.0,"Lake County, California",033,06
32645.0,692.0,667.0,712.0,475.0,727.0,478.0,724.0,441.0,2150.0,97.0,9707.0,6331.0,3206.0,1397.0,1176.0,331.0,138.0,83.0,3376.0,2737.0,483.0,94.0,19.0,43.0,0.0,0.0,4530.0,342.0,2900.0,86.0,600.0,623.0,436.0,1242.0,8.0,49.0,65.0,20.0,17224.0,146.0,18.0,24.0,19.0,2090.0,94.0,408.0,637.0,416.0,276.0,88.0,30.0,59.0,24.0,8129.0,213.0,40.0,28.0,1.0,3340.0,1146.0,2194.0,"Lassen County, California",035,06
10038388.0,328161.0,318768.0,328551.0,211176.0,313474.0,305079.0,314894.0,202071.0,3485724.0,72549.0,3263069.0,2186485.0,704734.0,512683.0,484359.0,266191.0,121061.0,97457.0,1076584.0,837266.0,189885.0,31907.0,11713.0,3669.0,1152.0,992.0,2627367.0,123625.0,1165624.0,47252.0,276723.0,295319.0,188974.0,202139.0,27778.0,32411.0,28712.0,17578.0,3386546.0,62089.0,9634.0,4520.0,4624.0,1165632.0,44132.0,264360.0,280663.0,179695.0,227110.0,26612.0,31854.0,30243.0,17358.0,3518821.0,61256.0,8865.0,3988.0,5018.0,1702865.0,651608.0,1051257.0,"Los Angeles County, California",037,06
153187.0,5856.0,5900.0,6215.0,3673.0,5879.0,6170.0,5674.0,3404.0,33122.0,455.0,43159.0,33201.0,11565.0,6034.0,6625.0,4905.0,2388.0,1684.0,9958.0,8437.0,1314.0,132.0,69.0,6.0,0.0,0.0,38837.0,2708.0,19459.0,697.0,5478.0,5821.0,3498.0,1274.0,133.0,162.0,266.0,136.0,49670.0,1566.0,260.0,128.0,39.0,19834.0,581.0,5789.0,5434.0,3139.0,1549.0,209.0,177.0,209.0,164.0,54538.0,1686.0,204.0,31.0,101.0,31121.0,11769.0,19352.0,"Madera County, California",039,06
