Total Pop,Males < 5,Males 5-9,Males 10-14,Males 15-17,Females < 5,Females 5-9,Females 10-14,Females 15-17,# Foreign Born,Overseas Move Past Year,Total Fam HH,1-person Fam HH,2-person Fam HH,3-person Fam HH,4-person Fam HH,5-person Fam HH,6-person Fam HH,7+-person Fam HH,Total non-Fam HH,1-person non-Fam HH,2-person non-Fam HH,3-person non-Fam HH,4-person non-Fam HH,5-person non-Fam HH,6-person non-Fam HH,7+-person non-Fam HH,Total Female Population,Women 15-50 Who've Given Birth,Total Male Public School,Male Public Age 3-4,Male Public Age 5-9,Male Public Age 10-14,Male Public Age 15-17,Total Male Private School,Male Private Age 3-4,Male Private Age 5-9,Male Private Age 10-14,Male Private Age 15-17,Total Male Not Enrolled,Male Not Enrolled Age 3-4,Male Not Enrolled Age 5-9,Male Not Enrolled Age 10-14,Male Not Enrolled Age 15-17,Total Female Public School,Female Public Age 3-4,Female Public Age 5-9,Female Public Age 10-14,Female Public Age 15-17,Total Female Private School,Female Private Age 3-4,Female Private Age 5-9,Female Private Age 10-14,Female Private Age 15-17,Total Female Not Enrolled,Female Not Enrolled Age 3-4,Female Not Enrolled Age 5-9,Female Not Enrolled Age 10-14,Female Not Enrolled Age 15-17,Total Below Poverty Level Ages 3+,Below Poverty Level Enrolled in School Ages 3+,Below Poverty Level Preschool,Below Poverty Level Kinder,Below Poverty Level Grades 1-4,Below Poverty Level Grades 5-8,Below Poverty Level Grades 9-12,Below Poverty Level Not Enrolled Ages 3+,Above Poverty Level Preschool,Above Poverty Level Kinder,Above Poverty Level Grades 1-4,Above Poverty Level Grades 5-8,Above Poverty Level Grades 9-12,NAME,county,state
1515136.0,50465.0,49105.0,45485.0,29436.0,47720.0,45923.0,44899.0,27830.0,463896.0,14429.0,539179.0,348592.0,127139.0,87229.0,78314.0,31813.0,14007.0,10090.0,190587.0,148032.0,33271.0,6011.0,2197.0,640.0,197.0,239.0,402656.0,20350.0,173870.0,5643.0,40687.0,40060.0,25821.0,30527.0,6739.0,6645.0,4865.0,2735.0,509013.0,8500.0,1773.0,560.0,880.0,177196.0,5185.0,38428.0,39382.0,24707.0,33673.0,5879.0,6386.0,5158.0,2597.0,532318.0,7700.0,1109.0,359.0,526.0,170434.0,66598.0,2854.0,3160.0,11526.0,10525.0,11913.0,103836.0,23302.0,16388.0,62460.0,60921.0,65629.0,"Alameda County, California",001,06
1197.0,57.0,47.0,24.0,36.0,3.0,49.0,19.0,35.0,57.0,22.0,385.0,250.0,123.0,74.0,27.0,12.0,2.0,12.0,135.0,109.0,22.0,0.0,0.0,0.0,4.0,0.0,259.0,0.0,148.0,21.0,41.0,16.0,27.0,58.0,28.0,6.0,8.0,9.0,457.0,2.0,0.0,0.0,0.0,135.0,0.0,36.0,14.0,35.0,21.0,0.0,10.0,5.0,0.0,372.0,3.0,3.0,0.0,0.0,159.0,60.0,1.0,2.0,0.0,0.0,25.0,99.0,33.0,14.0,71.0,36.0,66.0,"Alpine County, California",003,06
37764.0,556.0,868.0,964.0,796.0,789.0,838.0,881.0,635.0,2148.0,60.0,14236.0,9620.0,5568.0,1985.0,1125.0,625.0,262.0,55.0,4616.0,3617.0,848.0,93.0,58.0,0.0,0.0,0.0,6037.0,138.0,3432.0,45.0,816.0,873.0,708.0,529.0,88.0,25.0,37.0,31.0,16295.0,137.0,27.0,54.0,57.0,2976.0,98.0,781.0,825.0,597.0,491.0,106.0,57.0,56.0,28.0,13381.0,211.0,0.0,0.0,10.0,3435.0,818.0,61.0,95.0,187.0,119.0,211.0,2617.0,344.0,365.0,1149.0,1231.0,1496.0,"Amador County, California",005,06
220101.0,6240.0,6374.0,6553.0,4378.0,6100.0,5656.0,6658.0,4080.0,17140.0,829.0,85074.0,51990.0,24790.0,11869.0,9218.0,3625.0,1429.0,1059.0,33084.0,24691.0,5906.0,1499.0,754.0,191.0,31.0,12.0,52917.0,3146.0,29626.0,725.0,5705.0,6069.0,4015.0,2564.0,436.0,464.0,411.0,214.0,72818.0,1126.0,205.0,73.0,149.0,30063.0,844.0,4864.0,6083.0,3622.0,3042.0,378.0,615.0,529.0,327.0,74580.0,1423.0,177.0,46.0,131.0,41942.0,19274.0,541.0,447.0,2689.0,2429.0,2573.0,22668.0,2146.0,1749.0,7049.0,7996.0,8312.0,"Butte County, California",007,06
45507.0,939.0,1252.0,1390.0,1050.0,899.0,1086.0,1236.0,913.0,1961.0,70.0,18618.0,13199.0,8081.0,2259.0,1793.0,756.0,209.0,101.0,5419.0,4363.0,990.0,45.0,21.0,0.0,0.0,0.0,8449.0,202.0,4158.0,75.0,1166.0,1202.0,918.0,541.0,105.0,52.0,146.0,43.0,17582.0,169.0,34.0,42.0,89.0,3923.0,162.0,893.0,1089.0,705.0,669.0,17.0,50.0,133.0,136.0,17580.0,256.0,143.0,14.0,72.0,4446.0,955.0,27.0,144.0,122.0,186.0,201.0,3491.0,350.0,361.0,1566.0,1738.0,2112.0,"Calaveras County, California",009,06
21329.0,998.0,910.0,858.0,605.0,835.0,875.0,743.0,528.0,5072.0,252.0,6884.0,5120.0,1853.0,1138.0,1092.0,534.0,334.0,169.0,1764.0,1578.0,156.0,16.0,14.0,0.0,0.0,0.0,4859.0,308.0,2865.0,65.0,859.0,846.0,596.0,162.0,76.0,47.0,5.0,9.0,7339.0,204.0,4.0,7.0,0.0,2700.0,174.0,845.0,743.0,479.0,199.0,14.0,23.0,0.0,16.0,6927.0,163.0,7.0,0.0,33.0,2876.0,1396.0,81.0,66.0,511.0,313.0,309.0,1480.0,252.0,323.0,920.0,1028.0,1296.0,"Colusa County, California",011,06
1052047.0,34070.0,36764.0,37853.0,24144.0,32777.0,36006.0,35509.0,22570.0,248558.0,7356.0,373145.0,262863.0,99525.0,61031.0,59485.0,26339.0,10184.0,6299.0,110282.0,89647.0,17111.0,2261.0,947.0,297.0,7.0,12.0,259319.0,13895.0,119461.0,3811.0,30901.0,33331.0,21555.0,22784.0,4834.0,4490.0,3962.0,2150.0,352226.0,6455.0,1373.0,560.0,439.0,120074.0,3865.0,29975.0,31349.0,19969.0,24898.0,4108.0,4987.0,3798.0,2210.0,374407.0,5577.0,1044.0,362.0,391.0,100586.0,37045.0,2196.0,2110.0,7720.0,6710.0,7952.0,63541.0,16417.0,12665.0,50287.0,50302.0,55531.0,"Contra Costa County, California",013,06
28496.0,729.0,778.0,898.0,517.0,976.0,640.0,931.0,592.0,1819.0,56.0,9703.0,6205.0,2832.0,1494.0,849.0,647.0,186.0,197.0,3498.0,3026.0,422.0,25.0,17.0,8.0,0.0,0.0,5391.0,381.0,2926.0,116.0,688.0,754.0,456.0,573.0,45.0,90.0,110.0,61.0,11850.0,240.0,0.0,34.0,0.0,2850.0,118.0,499.0,818.0,489.0,463.0,9.0,84.0,100.0,90.0,8858.0,201.0,57.0,13.0,13.0,4960.0,1858.0,103.0,75.0,425.0,372.0,407.0,3102.0,179.0,125.0,803.0,1266.0,905.0,"Del Norte County, California",015,06
180441.0,4865.0,5700.0,6289.0,4188.0,4440.0,5315.0,6097.0,3911.0,15918.0,537.0,67846.0,49322.0,23862.0,9909.0,9286.0,4241.0,1215.0,809.0,18524.0,14276.0,3571.0,540.0,102.0,35.0,0.0,0.0,39271.0,1846.0,20748.0,488.0,5041.0,5693.0,3927.0,2758.0,750.0,510.0,499.0,213.0,64298.0,1009.0,149.0,97.0,48.0,20525.0,508.0,4697.0,5608.0,3670.0,2627.0,769.0,459.0,400.0,202.0,64487.0,783.0,159.0,89.0,39.0,13999.0,4572.0,328.0,126.0,951.0,853.0,1075.0,9427.0,2664.0,1986.0,7841.0,9288.0,9608.0,"El Dorado County, California",017,06
930517.0,40511.0,37654.0,39004.0,24425.0,38615.0,37921.0,35657.0,23211.0,205311.0,4351.0,287082.0,208532.0,65780.0,44655.0,44508.0,27563.0,14185.0,11841.0,78550.0,61614.0,13344.0,2278.0,797.0,173.0,144.0,200.0,233359.0,15983.0,133390.0,5389.0,34731.0,37090.0,22341.0,10232.0,1531.0,1718.0,1167.0,962.0,297817.0,10127.0,1205.0,747.0,1122.0,134703.0,4852.0,34986.0,33827.0,21771.0,11163.0,1478.0,1457.0,1233.0,851.0,296597.0,9134.0,1478.0,597.0,589.0,208160.0,88099.0,4371.0,6064.0,21651.0,19300.0,19941.0,120061.0,9432.0,9960.0,38556.0,39600.0,43846.0,"Fresno County, California",019,06
