Total Pop,Males < 5,Males 5-9,Males 10-14,Males 15-17,Females < 5,Females 5-9,Females 10-14,Females 15-17,# Foreign Born,Overseas Move Past Year,Total Fam HH,1-person Fam HH,2-person Fam HH,3-person Fam HH,4-person Fam HH,5-person Fam HH,6-person Fam HH,7+-person Fam HH,Total non-Fam HH,1-person non-Fam HH,2-person non-Fam HH,3-person non-Fam HH,4-person non-Fam HH,5-person non-Fam HH,6-person non-Fam HH,7+-person non-Fam HH,Total Female Population,Women 15-50 Who've Given Birth,Total Male Public School,Male Public Age 3-4,Male Public Age 5-9,Male Public Age 10-14,Male Public Age 15-17,Total Male Private School,Male Private Age 3-4,Male Private Age 5-9,Male Private Age 10-14,Male Private Age 15-17,Total Male Not Enrolled,Male Not Enrolled Age 3-4,Male Not Enrolled Age 5-9,Male Not Enrolled Age 10-14,Male Not Enrolled Age 15-17,Total Female Public School,Female Public Age 3-4,Female Public Age 5-9,Female Public Age 10-14,Female Public Age 15-17,Total Female Private School,Female Private Age 3-4,Female Private Age 5-9,Female Private Age 10-14,Female Private Age 15-17,Total Female Not Enrolled,Female Not Enrolled Age 3-4,Female Not Enrolled Age 5-9,Female Not Enrolled Age 10-14,Female Not Enrolled Age 15-17,Total Below Poverty Level Ages 3+,Below Poverty Level Enrolled in School Ages 3+,Below Poverty Level Not Enrolled Ages 3+,NAME,county,state
9974203.0,329505.0,321435.0,332447.0,216131.0,315133.0,307706.0,318660.0,206583.0,3484350.0,69477.0,3242391.0,2174805.0,696965.0,503936.0,480004.0,268405.0,123291.0,102204.0,1067586.0,829922.0,189513.0,31408.0,11232.0,3542.0,1067.0,902.0,2624407.0,127169.0,1172006.0,47588.0,278223.0,297742.0,193722.0,203989.0,27443.0,33194.0,29839.0,17073.0,3347142.0,63923.0,10018.0,4866.0,5336.0,1176567.0,44117.0,266273.0,284397.0,183580.0,226654.0,26913.0,32257.0,30350.0,18030.0,3473533.0,60342.0,9176.0,3913.0,4973.0,1706375.0,657132.0,1049243.0,"Los Angeles County, California",037,06
152452.0,5879.0,5992.0,6006.0,3729.0,5909.0,6315.0,5574.0,3431.0,33159.0,522.0,42723.0,33265.0,11076.0,6236.0,6899.0,4761.0,2414.0,1879.0,9458.0,7881.0,1306.0,145.0,122.0,4.0,0.0,0.0,38681.0,2514.0,19245.0,723.0,5607.0,5637.0,3589.0,1228.0,124.0,154.0,265.0,78.0,49266.0,1321.0,231.0,104.0,62.0,19830.0,567.0,6027.0,5393.0,3120.0,1337.0,195.0,131.0,157.0,147.0,54373.0,1685.0,157.0,24.0,164.0,30188.0,11412.0,18776.0,"Madera County, California",039,06
256802.0,6776.0,8044.0,7656.0,4337.0,6477.0,7499.0,7745.0,4282.0,48477.0,2072.0,103034.0,64194.0,29780.0,14078.0,14124.0,4208.0,1311.0,693.0,38840.0,31662.0,6241.0,640.0,221.0,45.0,15.0,16.0,53358.0,2600.0,22708.0,733.0,6513.0,6203.0,3498.0,7516.0,1328.0,1394.0,1379.0,802.0,92081.0,1182.0,137.0,74.0,37.0,22966.0,722.0,5892.0,6026.0,3466.0,7683.0,1344.0,1396.0,1628.0,725.0,96721.0,817.0,211.0,91.0,91.0,21155.0,6919.0,14236.0,"Marin County, California",041,06
17946.0,339.0,502.0,360.0,267.0,358.0,374.0,545.0,350.0,1013.0,50.0,7289.0,4905.0,2979.0,854.0,734.0,163.0,131.0,44.0,2384.0,1873.0,443.0,68.0,0.0,0.0,0.0,0.0,3326.0,252.0,1316.0,13.0,453.0,322.0,242.0,113.0,23.0,42.0,8.0,25.0,7351.0,33.0,7.0,30.0,0.0,1724.0,19.0,355.0,529.0,316.0,111.0,30.0,7.0,16.0,15.0,6853.0,101.0,12.0,0.0,19.0,2818.0,800.0,2018.0,"Mariposa County, California",043,06
87612.0,2659.0,2939.0,2613.0,1804.0,2494.0,2515.0,2618.0,1574.0,11707.0,251.0,33693.0,20144.0,9256.0,3803.0,4044.0,1891.0,849.0,301.0,13549.0,11104.0,1994.0,268.0,159.0,18.0,0.0,6.0,17945.0,1018.0,8923.0,265.0,2711.0,2414.0,1661.0,727.0,107.0,124.0,138.0,78.0,32717.0,675.0,104.0,61.0,65.0,9168.0,329.0,2257.0,2313.0,1472.0,1272.0,235.0,207.0,302.0,58.0,31779.0,516.0,51.0,3.0,44.0,16578.0,5145.0,11433.0,"Mendocino County, California",045,06
261609.0,11076.0,11111.0,11799.0,7201.0,10634.0,10607.0,11124.0,6574.0,66633.0,640.0,76516.0,59029.0,17397.0,12531.0,12286.0,9381.0,4331.0,3103.0,17487.0,14074.0,2564.0,485.0,155.0,182.0,0.0,27.0,64538.0,4080.0,39827.0,1857.0,10456.0,11180.0,6665.0,1888.0,231.0,388.0,519.0,163.0,84179.0,2983.0,267.0,100.0,373.0,39405.0,1189.0,9825.0,10664.0,6241.0,2414.0,188.0,397.0,380.0,190.0,81184.0,2550.0,385.0,80.0,143.0,60554.0,27230.0,33324.0,"Merced County, California",047,06
9335.0,236.0,210.0,370.0,194.0,238.0,233.0,294.0,206.0,693.0,0.0,3893.0,2348.0,1271.0,386.0,306.0,248.0,99.0,38.0,1545.0,1347.0,198.0,0.0,0.0,0.0,0.0,0.0,1739.0,130.0,728.0,18.0,155.0,258.0,151.0,181.0,8.0,55.0,112.0,6.0,3700.0,92.0,0.0,0.0,37.0,867.0,32.0,180.0,279.0,206.0,88.0,6.0,50.0,15.0,0.0,3508.0,55.0,3.0,0.0,0.0,1822.0,597.0,1225.0,"Modoc County, California",049,06
14193.0,227.0,275.0,566.0,307.0,615.0,456.0,275.0,154.0,2496.0,31.0,5160.0,2978.0,1523.0,626.0,459.0,276.0,93.0,1.0,2182.0,1766.0,396.0,20.0,0.0,0.0,0.0,0.0,2894.0,103.0,1913.0,54.0,270.0,566.0,255.0,71.0,0.0,5.0,0.0,52.0,5406.0,43.0,0.0,0.0,0.0,1465.0,74.0,456.0,275.0,146.0,79.0,49.0,0.0,0.0,8.0,4850.0,213.0,0.0,0.0,0.0,704.0,151.0,553.0,"Mono County, California",051,06
424927.0,17097.0,16386.0,15278.0,9182.0,16169.0,15369.0,14564.0,8673.0,127844.0,3046.0,125115.0,91099.0,29647.0,18696.0,18704.0,12499.0,6289.0,5264.0,34016.0,26785.0,5760.0,812.0,397.0,168.0,60.0,34.0,100819.0,5910.0,54664.0,2176.0,14967.0,13975.0,8242.0,5785.0,606.0,716.0,1124.0,635.0,147618.0,4322.0,703.0,179.0,305.0,54135.0,2417.0,13808.0,13631.0,7885.0,5321.0,472.0,1037.0,773.0,560.0,138278.0,4147.0,524.0,160.0,228.0,64830.0,26273.0,38557.0,"Monterey County, California",053,06
139253.0,4083.0,4159.0,4779.0,2855.0,3802.0,3954.0,4712.0,2735.0,32296.0,642.0,49631.0,34468.0,14510.0,6949.0,7022.0,3403.0,1595.0,989.0,15163.0,12103.0,2464.0,341.0,119.0,87.0,13.0,36.0,31906.0,1747.0,14342.0,436.0,3212.0,4355.0,2617.0,2834.0,421.0,688.0,372.0,211.0,49771.0,872.0,259.0,52.0,27.0,15049.0,611.0,3406.0,4207.0,2419.0,2643.0,246.0,330.0,464.0,293.0,49799.0,484.0,218.0,41.0,23.0,13229.0,4314.0,8915.0,"Napa County, California",055,06
