Total Pop,Males < 5,Males 5-9,Males 10-14,Males 15-17,Females < 5,Females 5-9,Females 10-14,Females 15-17,# Foreign Born,Overseas Move Past Year,Total Fam HH,1-person Fam HH,2-person Fam HH,3-person Fam HH,4-person Fam HH,5-person Fam HH,6-person Fam HH,7+-person Fam HH,Total non-Fam HH,1-person non-Fam HH,2-person non-Fam HH,3-person non-Fam HH,4-person non-Fam HH,5-person non-Fam HH,6-person non-Fam HH,7+-person non-Fam HH,Total Female Population,Women 15-50 Who've Given Birth,Total Male Public School,Male Public Age 3-4,Male Public Age 5-9,Male Public Age 10-14,Male Public Age 15-17,Total Male Private School,Male Private Age 3-4,Male Private Age 5-9,Male Private Age 10-14,Male Private Age 15-17,Total Male Not Enrolled,Male Not Enrolled Age 3-4,Male Not Enrolled Age 5-9,Male Not Enrolled Age 10-14,Male Not Enrolled Age 15-17,Total Female Public School,Female Public Age 3-4,Female Public Age 5-9,Female Public Age 10-14,Female Public Age 15-17,Total Female Private School,Female Private Age 3-4,Female Private Age 5-9,Female Private Age 10-14,Female Private Age 15-17,Total Female Not Enrolled,Female Not Enrolled Age 3-4,Female Not Enrolled Age 5-9,Female Not Enrolled Age 10-14,Female Not Enrolled Age 15-17,Total Below Poverty Level Ages 3+,Below Poverty Level Enrolled in School Ages 3+,Below Poverty Level Preschool,Below Poverty Level Kinder,Below Poverty Level Grades 1-4,Below Poverty Level Grades 5-8,Below Poverty Level Grades 9-12,Below Poverty Level Not Enrolled Ages 3+,Above Poverty Level Preschool,Above Poverty Level Kinder,Above Poverty Level Grades 1-4,Above Poverty Level Grades 5-8,Above Poverty Level Grades 9-12,NAME,county,state
1494876.0,50416.0,48704.0,45092.0,29804.0,47633.0,45276.0,44759.0,27947.0,459612.0,15197.0,536160.0,344539.0,125598.0,85191.0,78296.0,31872.0,13890.0,9692.0,191621.0,148666.0,34127.0,5830.0,2042.0,651.0,145.0,160.0,398999.0,19831.0,170422.0,5293.0,40067.0,39534.0,26231.0,30469.0,6893.0,6657.0,5081.0,2599.0,503076.0,8900.0,1980.0,477.0,974.0,175859.0,5141.0,37991.0,39141.0,24613.0,32994.0,5795.0,6111.0,5152.0,2602.0,523704.0,7675.0,1174.0,466.0,732.0,164754.0,64877.0,2951.0,2880.0,11692.0,10053.0,11764.0,99877.0,23168.0,16352.0,61225.0,60931.0,67170.0,"Alameda County, California",001,06
1167.0,47.0,38.0,11.0,30.0,30.0,68.0,28.0,32.0,54.0,31.0,357.0,225.0,137.0,45.0,23.0,11.0,2.0,7.0,132.0,108.0,20.0,0.0,0.0,0.0,4.0,0.0,280.0,8.0,152.0,37.0,38.0,7.0,19.0,22.0,0.0,0.0,4.0,11.0,425.0,4.0,0.0,0.0,0.0,197.0,9.0,57.0,20.0,32.0,33.0,0.0,11.0,8.0,0.0,319.0,8.0,0.0,0.0,0.0,170.0,100.0,13.0,13.0,0.0,0.0,25.0,70.0,18.0,15.0,49.0,55.0,54.0,"Alpine County, California",003,06
38244.0,609.0,772.0,1220.0,791.0,633.0,815.0,975.0,658.0,2232.0,55.0,14283.0,9647.0,5556.0,2081.0,1038.0,667.0,270.0,35.0,4636.0,3537.0,982.0,74.0,43.0,0.0,0.0,0.0,6313.0,219.0,3567.0,27.0,724.0,1137.0,700.0,471.0,75.0,15.0,67.0,23.0,16447.0,132.0,33.0,16.0,68.0,3121.0,149.0,713.0,911.0,632.0,483.0,67.0,102.0,64.0,18.0,13512.0,149.0,0.0,0.0,8.0,3285.0,819.0,51.0,78.0,166.0,150.0,204.0,2466.0,292.0,451.0,1096.0,1366.0,1706.0,"Amador County, California",005,06
219309.0,6155.0,6279.0,6716.0,4423.0,6115.0,5706.0,6585.0,4193.0,17216.0,991.0,85219.0,52550.0,24959.0,12177.0,9151.0,3656.0,1479.0,1128.0,32669.0,24448.0,5623.0,1452.0,868.0,181.0,37.0,60.0,53072.0,3140.0,30825.0,769.0,5531.0,6328.0,4076.0,2417.0,452.0,543.0,358.0,242.0,71377.0,1112.0,205.0,30.0,105.0,30982.0,871.0,4840.0,5975.0,3862.0,2952.0,347.0,697.0,535.0,222.0,73497.0,1460.0,169.0,75.0,109.0,40060.0,19284.0,463.0,446.0,2567.0,2421.0,2686.0,20776.0,2241.0,1877.0,6925.0,8055.0,8643.0,"Butte County, California",007,06
45794.0,961.0,1164.0,1546.0,1047.0,939.0,1134.0,1243.0,1004.0,1991.0,71.0,18865.0,13084.0,8054.0,2007.0,1900.0,802.0,256.0,65.0,5781.0,4568.0,1106.0,36.0,71.0,0.0,0.0,0.0,8752.0,246.0,4069.0,100.0,1006.0,1326.0,913.0,427.0,41.0,32.0,164.0,19.0,17774.0,229.0,126.0,56.0,115.0,4047.0,134.0,933.0,1061.0,863.0,699.0,108.0,51.0,160.0,120.0,17709.0,219.0,150.0,22.0,21.0,3583.0,640.0,21.0,90.0,34.0,190.0,124.0,2943.0,323.0,384.0,1750.0,1666.0,2273.0,"Calaveras County, California",009,06
21297.0,1008.0,946.0,806.0,610.0,830.0,801.0,819.0,536.0,5147.0,225.0,6989.0,5031.0,1750.0,1032.0,1216.0,488.0,322.0,223.0,1958.0,1698.0,229.0,18.0,13.0,0.0,0.0,0.0,4898.0,264.0,2865.0,109.0,872.0,788.0,596.0,177.0,83.0,61.0,10.0,14.0,7306.0,174.0,13.0,8.0,0.0,2714.0,138.0,772.0,814.0,489.0,245.0,26.0,23.0,0.0,20.0,6894.0,212.0,6.0,5.0,27.0,2734.0,1246.0,68.0,40.0,375.0,278.0,318.0,1488.0,293.0,306.0,1054.0,1137.0,1260.0,"Colusa County, California",011,06
1037817.0,34154.0,36195.0,38101.0,24303.0,32801.0,35129.0,35657.0,22820.0,245126.0,7070.0,370925.0,262415.0,100138.0,61040.0,58437.0,26886.0,9847.0,6067.0,108510.0,87806.0,17262.0,2187.0,940.0,272.0,8.0,35.0,258062.0,14065.0,118377.0,3974.0,30342.0,33669.0,21463.0,22526.0,4718.0,4630.0,3761.0,2209.0,346318.0,6083.0,1223.0,671.0,631.0,118583.0,3417.0,29204.0,31314.0,20334.0,24041.0,4225.0,4724.0,3872.0,2095.0,369017.0,5583.0,1201.0,471.0,391.0,96041.0,35192.0,2074.0,1985.0,7104.0,6709.0,8097.0,60849.0,16442.0,12344.0,49734.0,50845.0,55165.0,"Contra Costa County, California",013,06
28561.0,715.0,762.0,1057.0,577.0,1012.0,831.0,809.0,580.0,1908.0,42.0,9818.0,6196.0,2776.0,1568.0,924.0,546.0,184.0,198.0,3622.0,3158.0,421.0,24.0,15.0,4.0,0.0,0.0,5475.0,527.0,2867.0,126.0,653.0,850.0,553.0,602.0,39.0,109.0,175.0,22.0,11900.0,231.0,0.0,32.0,2.0,2936.0,154.0,700.0,700.0,475.0,409.0,0.0,80.0,100.0,81.0,8809.0,139.0,51.0,9.0,24.0,4860.0,1777.0,100.0,63.0,496.0,299.0,331.0,3083.0,213.0,113.0,897.0,1406.0,928.0,"Del Norte County, California",015,06
179878.0,4980.0,5597.0,6466.0,4295.0,4649.0,5291.0,6220.0,3998.0,15146.0,534.0,68812.0,49539.0,23759.0,10160.0,9441.0,4090.0,1327.0,762.0,19273.0,14717.0,3842.0,561.0,121.0,32.0,0.0,0.0,40189.0,1844.0,20608.0,468.0,4965.0,5957.0,4034.0,2650.0,810.0,489.0,394.0,248.0,64161.0,1065.0,143.0,115.0,13.0,21085.0,721.0,4651.0,5743.0,3704.0,2781.0,694.0,505.0,410.0,250.0,63399.0,677.0,135.0,67.0,44.0,14393.0,4962.0,346.0,188.0,1101.0,879.0,1189.0,9431.0,2726.0,2020.0,7673.0,9372.0,9693.0,"El Dorado County, California",017,06
920623.0,40320.0,37040.0,39021.0,24719.0,38246.0,36510.0,36658.0,23490.0,203223.0,4597.0,285338.0,207355.0,65738.0,43610.0,44971.0,26867.0,14207.0,11962.0,77983.0,61706.0,12785.0,2211.0,799.0,136.0,134.0,212.0,231727.0,16017.0,131733.0,4934.0,33852.0,36859.0,22630.0,10090.0,1699.0,1887.0,1277.0,984.0,294388.0,9782.0,1301.0,885.0,1105.0,133709.0,5108.0,33604.0,34635.0,22004.0,11355.0,1692.0,1305.0,1520.0,779.0,293026.0,9029.0,1601.0,503.0,707.0,193572.0,81532.0,3960.0,5208.0,19340.0,18964.0,19476.0,112040.0,9814.0,10081.0,39353.0,41100.0,45222.0,"Fresno County, California",019,06
