Total Pop,Males < 5,Males 5-9,Males 10-14,Males 15-17,Females < 5,Females 5-9,Females 10-14,Females 15-17,# Foreign Born,Overseas Move Past Year,Total Fam HH,1-person Fam HH,2-person Fam HH,3-person Fam HH,4-person Fam HH,5-person Fam HH,6-person Fam HH,7+-person Fam HH,Total non-Fam HH,1-person non-Fam HH,2-person non-Fam HH,3-person non-Fam HH,4-person non-Fam HH,5-person non-Fam HH,6-person non-Fam HH,7+-person non-Fam HH,Total Female Population,Women 15-50 Who've Given Birth,Total Male Public School,Male Public Age 3-4,Male Public Age 5-9,Male Public Age 10-14,Male Public Age 15-17,Total Male Private School,Male Private Age 3-4,Male Private Age 5-9,Male Private Age 10-14,Male Private Age 15-17,Total Male Not Enrolled,Male Not Enrolled Age 3-4,Male Not Enrolled Age 5-9,Male Not Enrolled Age 10-14,Male Not Enrolled Age 15-17,Total Female Public School,Female Public Age 3-4,Female Public Age 5-9,Female Public Age 10-14,Female Public Age 15-17,Total Female Private School,Female Private Age 3-4,Female Private Age 5-9,Female Private Age 10-14,Female Private Age 15-17,Total Female Not Enrolled,Female Not Enrolled Age 3-4,Female Not Enrolled Age 5-9,Female Not Enrolled Age 10-14,Female Not Enrolled Age 15-17,Total Below Poverty Level Ages 3+,Below Poverty Level Enrolled in School Ages 3+,Below Poverty Level Preschool,Below Poverty Level Kinder,Below Poverty Level Grades 1-4,Below Poverty Level Grades 5-8,Below Poverty Level Grades 9-12,Below Poverty Level Not Enrolled Ages 3+,Above Poverty Level Preschool,Above Poverty Level Kinder,Above Poverty Level Grades 1-4,Above Poverty Level Grades 5-8,Above Poverty Level Grades 9-12,NAME,county,state
1535248.0,50010.0,49228.0,46352.0,29101.0,47512.0,45754.0,45788.0,27569.0,472461.0,15090.0,545071.0,354289.0,128185.0,88597.0,79193.0,33425.0,14637.0,10252.0,190782.0,146845.0,34103.0,6342.0,2300.0,745.0,202.0,245.0,404968.0,19661.0,174406.0,5457.0,41176.0,41087.0,25741.0,30180.0,6563.0,6457.0,4681.0,2672.0,518661.0,8397.0,1595.0,584.0,688.0,176803.0,5031.0,38258.0,40699.0,24737.0,33610.0,5991.0,6290.0,4714.0,2342.0,543912.0,8407.0,1206.0,375.0,490.0,180209.0,69905.0,3021.0,3135.0,12079.0,11231.0,12132.0,110304.0,23132.0,16411.0,61947.0,61216.0,65069.0,"Alameda County, California",001,06
1165.0,43.0,65.0,31.0,28.0,0.0,47.0,11.0,29.0,44.0,16.0,394.0,263.0,141.0,67.0,33.0,10.0,1.0,11.0,131.0,119.0,9.0,0.0,0.0,0.0,3.0,0.0,190.0,0.0,144.0,16.0,59.0,21.0,19.0,45.0,14.0,6.0,10.0,9.0,508.0,2.0,0.0,0.0,0.0,107.0,0.0,40.0,11.0,29.0,10.0,0.0,4.0,0.0,0.0,340.0,0.0,3.0,0.0,0.0,184.0,82.0,1.0,2.0,15.0,0.0,33.0,102.0,15.0,12.0,66.0,12.0,42.0,"Alpine County, California",003,06
37422.0,508.0,895.0,864.0,767.0,782.0,806.0,870.0,574.0,2135.0,44.0,14262.0,9525.0,5493.0,1989.0,1121.0,676.0,198.0,48.0,4737.0,3833.0,774.0,85.0,45.0,0.0,0.0,0.0,5904.0,183.0,3469.0,76.0,857.0,822.0,683.0,403.0,34.0,10.0,3.0,29.0,16079.0,113.0,28.0,39.0,55.0,2902.0,91.0,730.0,834.0,551.0,448.0,71.0,76.0,28.0,23.0,13449.0,233.0,0.0,8.0,0.0,3956.0,1164.0,104.0,132.0,354.0,167.0,202.0,2792.0,222.0,274.0,1048.0,1106.0,1396.0,"Amador County, California",005,06
220542.0,6230.0,6301.0,6588.0,4261.0,6015.0,5879.0,6484.0,4003.0,16511.0,865.0,84816.0,51029.0,24403.0,11633.0,9064.0,3451.0,1358.0,1120.0,33787.0,24810.0,6409.0,1471.0,815.0,242.0,14.0,26.0,52597.0,3003.0,29074.0,717.0,5600.0,6043.0,3911.0,2611.0,367.0,529.0,434.0,227.0,73692.0,1323.0,172.0,111.0,123.0,30348.0,883.0,5093.0,6027.0,3572.0,2690.0,292.0,547.0,392.0,331.0,74978.0,1514.0,239.0,65.0,100.0,42059.0,19082.0,516.0,409.0,2500.0,2092.0,2435.0,22977.0,2137.0,1596.0,7361.0,8264.0,8520.0,"Butte County, California",007,06
45147.0,880.0,1398.0,1236.0,1048.0,966.0,976.0,1273.0,833.0,1899.0,108.0,18702.0,12989.0,7900.0,2229.0,1795.0,823.0,127.0,115.0,5713.0,4688.0,886.0,52.0,87.0,0.0,0.0,0.0,8254.0,219.0,4134.0,124.0,1222.0,1130.0,926.0,479.0,48.0,128.0,68.0,64.0,17468.0,177.0,48.0,38.0,58.0,3712.0,117.0,844.0,1195.0,650.0,524.0,21.0,36.0,78.0,98.0,17713.0,242.0,96.0,0.0,85.0,4745.0,977.0,38.0,92.0,243.0,142.0,196.0,3768.0,314.0,337.0,1529.0,1700.0,2056.0,"Calaveras County, California",009,06
21366.0,942.0,909.0,874.0,582.0,828.0,859.0,745.0,497.0,4986.0,171.0,6853.0,4994.0,1969.0,947.0,1062.0,549.0,272.0,195.0,1859.0,1586.0,239.0,17.0,17.0,0.0,0.0,0.0,4814.0,243.0,2789.0,85.0,849.0,854.0,570.0,153.0,67.0,42.0,11.0,12.0,7557.0,225.0,18.0,9.0,0.0,2694.0,166.0,809.0,734.0,457.0,225.0,41.0,20.0,0.0,13.0,6911.0,149.0,30.0,11.0,27.0,2374.0,1016.0,59.0,48.0,358.0,271.0,142.0,1358.0,304.0,319.0,1033.0,1058.0,1356.0,"Colusa County, California",011,06
1065794.0,33679.0,37568.0,37725.0,24035.0,32470.0,36606.0,35486.0,22551.0,250936.0,6975.0,375855.0,265305.0,99171.0,62351.0,59646.0,27210.0,10403.0,6524.0,110550.0,88404.0,18360.0,2387.0,1003.0,257.0,28.0,111.0,260121.0,13173.0,120840.0,3705.0,31510.0,33407.0,21476.0,22550.0,4544.0,4879.0,3851.0,2164.0,357785.0,6385.0,1179.0,467.0,395.0,120879.0,3615.0,30665.0,31590.0,19939.0,25168.0,4286.0,4872.0,3584.0,2114.0,380506.0,5548.0,1069.0,312.0,498.0,105338.0,39537.0,2189.0,2294.0,8173.0,7044.0,8312.0,65801.0,16137.0,12854.0,50599.0,50061.0,54758.0,"Contra Costa County, California",013,06
28357.0,920.0,787.0,776.0,561.0,900.0,770.0,782.0,567.0,1853.0,71.0,9593.0,5954.0,2382.0,1637.0,859.0,689.0,212.0,175.0,3639.0,3165.0,379.0,73.0,22.0,0.0,0.0,0.0,5251.0,350.0,2819.0,97.0,679.0,655.0,485.0,569.0,78.0,104.0,102.0,74.0,11872.0,272.0,4.0,19.0,2.0,2763.0,111.0,593.0,690.0,499.0,445.0,29.0,120.0,80.0,53.0,8836.0,180.0,57.0,12.0,15.0,4892.0,1707.0,92.0,72.0,388.0,348.0,338.0,3185.0,230.0,133.0,932.0,1061.0,943.0,"Del Norte County, California",015,06
180982.0,4643.0,5694.0,6198.0,4092.0,4339.0,5329.0,5966.0,3867.0,15695.0,475.0,67885.0,48981.0,24127.0,9927.0,8982.0,4009.0,1138.0,798.0,18904.0,14912.0,3387.0,504.0,95.0,6.0,0.0,0.0,38626.0,1924.0,20629.0,504.0,5047.0,5708.0,3822.0,2699.0,778.0,506.0,462.0,212.0,64729.0,842.0,141.0,28.0,58.0,20079.0,506.0,4631.0,5450.0,3560.0,2725.0,645.0,520.0,425.0,259.0,65373.0,959.0,178.0,91.0,48.0,15741.0,4556.0,293.0,310.0,962.0,830.0,1065.0,11185.0,2675.0,2021.0,7651.0,8792.0,9575.0,"El Dorado County, California",017,06
939605.0,40395.0,38914.0,38383.0,23898.0,39087.0,38474.0,35507.0,22866.0,205349.0,3843.0,289811.0,211170.0,66251.0,45217.0,44951.0,28242.0,13957.0,12552.0,78641.0,62072.0,12762.0,2419.0,846.0,234.0,176.0,132.0,233863.0,15342.0,133759.0,5675.0,35699.0,36452.0,21935.0,10655.0,1557.0,1933.0,1228.0,938.0,301884.0,10257.0,1282.0,703.0,1025.0,134698.0,4439.0,35774.0,33599.0,21786.0,11721.0,1500.0,1485.0,1359.0,697.0,300639.0,9805.0,1215.0,549.0,383.0,220371.0,93351.0,4820.0,5973.0,22839.0,20446.0,20977.0,127020.0,9099.0,10188.0,38840.0,38141.0,42014.0,"Fresno County, California",019,06
28054.0,1060.0,1017.0,1302.0,671.0,977.0,875.0,1164.0,688.0,4837.0,44.0,9628.0,6809.0,2524.0,1528.0,1399.0,724.0,500.0,134.0,2819.0,2330.0,448.0,35.0,6.0,0.0,0.0,0.0,6384.0,414.0,3420.0,142.0,794.0,1105.0,594.0,456.0,64.0,166.0,177.0,44.0,9663.0,199.0,57.0,20.0,33.0,3682.0,114.0,737.0,1004.0,656.0,435.0,76.0,121.0,160.0,26.0,9223.0,267.0,17.0,0.0,6.0,4891.0,2078.0,74.0,214.0,349.0,285.0,576.0,2813.0,284.0,391.0,1053.0,1644.0,1421.0,"Glenn County, California",021,06
134613.0,3850.0,3699.0,3728.0,2364.0,3614.0,3594.0,3511.0,2318.0,7727.0,348.0,53296.0,30562.0,15367.0,6897.0,5080.0,2216.0,619.0,383.0,22734.0,16970.0,4692.0,742.0,208.0,53.0,44.0,25.0,32525.0,1575.0,16451.0,631.0,3345.0,3387.0,2177.0,1267.0,223.0,251.0,307.0,153.0,47664.0,921.0,103.0,34.0,34.0,16620.0,472.0,3171.0,3137.0,2108.0,1466.0,215.0,267.0,266.0,101.0,46892.0,749.0,156.0,108.0,109.0,25321.0,9741.0,533.0,257.0,1136.0,995.0,1255.0,15580.0,1242.0,1015.0,4542.0,4519.0,4796.0,"Humboldt County, California",023,06
175201.0,7213.0,7108.0,7155.0,4622.0,6899.0,7052.0,6551.0,4258.0,56552.0,1220.0,48099.0,37969.0,10521.0,9278.0,8224.0,5393.0,2844.0,1709.0,10130.0,8624.0,1149.0,152.0,158.0,43.0,0.0,4.0,41342.0,3076.0,25740.0,1140.0,6706.0,6966.0,4356.0,1372.0,315.0,145.0,124.0,166.0,58713.0,1500.0,257.0,65.0,100.0,26113.0,1317.0,6580.0,6363.0,4146.0,1459.0,260.0,228.0,154.0,76.0,53620.0,1396.0,244.0,34.0,36.0,35672.0,15027.0,1048.0,923.0,3870.0,3371.0,3310.0,20645.0,2358.0,1827.0,7150.0,7643.0,9251.0,"Imperial County, California",025,06
18482.0,553.0,551.0,509.0,369.0,542.0,370.0,640.0,347.0,1930.0,8.0,7873.0,4462.0,2190.0,1127.0,676.0,389.0,49.0,31.0,3411.0,3027.0,334.0,19.0,24.0,7.0,0.0,0.0,3630.0,175.0,1749.0,69.0,515.0,458.0,349.0,182.0,35.0,33.0,30.0,20.0,7044.0,112.0,3.0,21.0,0.0,1769.0,136.0,304.0,595.0,335.0,226.0,30.0,40.0,45.0,0.0,6868.0,69.0,26.0,0.0,12.0,2135.0,617.0,94.0,27.0,134.0,92.0,151.0,1518.0,231.0,80.0,654.0,698.0,780.0,"Inyo County, California",027,06
848204.0,36949.0,35954.0,34631.0,22045.0,35961.0,34911.0,33131.0,20808.0,174673.0,3823.0,255271.0,191608.0,61517.0,39395.0,41336.0,26800.0,13311.0,9249.0,63663.0,50884.0,10324.0,1719.0,509.0,197.0,22.0,8.0,203997.0,14141.0,114539.0,3779.0,32722.0,32737.0,20069.0,9884.0,1414.0,1732.0,1510.0,1107.0,290165.0,9696.0,1500.0,384.0,869.0,113666.0,3942.0,31432.0,31018.0,19583.0,11691.0,1434.0,1904.0,1558.0,726.0,265625.0,10011.0,1575.0,555.0,499.0,171561.0,69356.0,3231.0,5238.0,17813.0,16678.0,16805.0,102205.0,8024.0,9428.0,37421.0,36886.0,41509.0,"Kern County, California",029,06
151806.0,6449.0,5985.0,5584.0,3404.0,6265.0,5800.0,5390.0,3273.0,30520.0,1112.0,40785.0,31566.0,9876.0,7078.0,6348.0,4181.0,2631.0,1452.0,9219.0,7292.0,1267.0,304.0,192.0,66.0,47.0,51.0,33441.0,2419.0,20054.0,890.0,5474.0,5293.0,3212.0,2388.0,221.0,247.0,215.0,86.0,58872.0,1533.0,264.0,76.0,106.0,18388.0,639.0,5266.0,5018.0,2934.0,1817.0,131.0,236.0,231.0,139.0,42733.0,1746.0,298.0,141.0,200.0,25496.0,10496.0,766.0,631.0,2772.0,2442.0,2438.0,15000.0,1125.0,1592.0,6709.0,5711.0,6766.0,"Kings County, California",031,06
64260.0,1879.0,1809.0,1895.0,1387.0,1664.0,1659.0,1925.0,1123.0,5497.0,238.0,26505.0,16540.0,8055.0,3670.0,2717.0,1121.0,526.0,451.0,9965.0,7793.0,1876.0,234.0,30.0,27.0,5.0,0.0,12943.0,924.0,6269.0,377.0,1612.0,1818.0,1139.0,616.0,176.0,81.0,73.0,119.0,24567.0,412.0,116.0,4.0,129.0,6288.0,225.0,1426.0,1637.0,1087.0,816.0,114.0,134.0,246.0,36.0,23890.0,425.0,99.0,42.0,0.0,15093.0,4755.0,317.0,356.0,945.0,1096.0,1022.0,10338.0,639.0,462.0,1631.0,2064.0,2030.0,"Lake County, California",033,06
