Total Pop,Males < 5,Males 5-9,Males 10-14,Males 15-17,Females < 5,Females 5-9,Females 10-14,Females 15-17,# Foreign Born,Overseas Move Past Year,Total Fam HH,1-person Fam HH,2-person Fam HH,3-person Fam HH,4-person Fam HH,5-person Fam HH,6-person Fam HH,7+-person Fam HH,Total non-Fam HH,1-person non-Fam HH,2-person non-Fam HH,3-person non-Fam HH,4-person non-Fam HH,5-person non-Fam HH,6-person non-Fam HH,7+-person non-Fam HH,Total Female Population,Women 15-50 Who've Given Birth,Total Male Public School,Male Public Age 3-4,Male Public Age 5-9,Male Public Age 10-14,Male Public Age 15-17,Total Male Private School,Male Private Age 3-4,Male Private Age 5-9,Male Private Age 10-14,Male Private Age 15-17,Total Male Not Enrolled,Male Not Enrolled Age 3-4,Male Not Enrolled Age 5-9,Male Not Enrolled Age 10-14,Male Not Enrolled Age 15-17,Total Female Public School,Female Public Age 3-4,Female Public Age 5-9,Female Public Age 10-14,Female Public Age 15-17,Total Female Private School,Female Private Age 3-4,Female Private Age 5-9,Female Private Age 10-14,Female Private Age 15-17,Total Female Not Enrolled,Female Not Enrolled Age 3-4,Female Not Enrolled Age 5-9,Female Not Enrolled Age 10-14,Female Not Enrolled Age 15-17,Total Below Poverty Level Ages 3+,Below Poverty Level Enrolled in School Ages 3+,Below Poverty Level Preschool,Below Poverty Level Kinder,Below Poverty Level Grades 1-4,Below Poverty Level Grades 5-8,Below Poverty Level Grades 9-12,Below Poverty Level Not Enrolled Ages 3+,Above Poverty Level Preschool,Above Poverty Level Kinder,Above Poverty Level Grades 1-4,Above Poverty Level Grades 5-8,Above Poverty Level Grades 9-12,NAME,county,state
250699.0,11511.0,11200.0,11359.0,7360.0,10870.0,10802.0,10655.0,6856.0,62201.0,619.0,73586.0,57613.0,17071.0,12446.0,12833.0,8385.0,3989.0,2889.0,15973.0,12851.0,2438.0,339.0,213.0,59.0,73.0,0.0,63240.0,5159.0,37705.0,1179.0,10470.0,11003.0,7040.0,2257.0,287.0,305.0,253.0,136.0,79225.0,3035.0,425.0,103.0,184.0,38231.0,1207.0,9978.0,10318.0,6585.0,2599.0,201.0,477.0,274.0,112.0,77008.0,2798.0,347.0,63.0,159.0,48875.0,21085.0,790.0,1387.0,5816.0,4658.0,4664.0,27790.0,2724.0,2347.0,11927.0,12634.0,15193.0,"Merced County, California",047,06
9605.0,262.0,277.0,334.0,213.0,250.0,319.0,307.0,167.0,634.0,0.0,3977.0,2583.0,1428.0,511.0,313.0,212.0,93.0,26.0,1394.0,1239.0,155.0,0.0,0.0,0.0,0.0,0.0,1818.0,97.0,911.0,52.0,219.0,314.0,198.0,88.0,0.0,40.0,20.0,0.0,3687.0,80.0,18.0,0.0,15.0,1082.0,29.0,304.0,248.0,152.0,87.0,24.0,0.0,16.0,15.0,3500.0,77.0,15.0,43.0,0.0,1617.0,631.0,52.0,36.0,127.0,99.0,185.0,986.0,68.0,45.0,348.0,394.0,324.0,"Modoc County, California",049,06
13905.0,413.0,143.0,654.0,354.0,500.0,428.0,353.0,127.0,2564.0,89.0,5283.0,3131.0,1254.0,868.0,463.0,396.0,126.0,24.0,2152.0,1522.0,392.0,217.0,0.0,21.0,0.0,0.0,3362.0,69.0,1462.0,49.0,120.0,552.0,354.0,145.0,34.0,0.0,102.0,0.0,5731.0,38.0,23.0,0.0,0.0,1192.0,33.0,428.0,256.0,127.0,177.0,76.0,0.0,97.0,0.0,4661.0,146.0,0.0,0.0,0.0,1658.0,454.0,0.0,0.0,125.0,140.0,64.0,1204.0,196.0,60.0,493.0,603.0,585.0,"Mono County, California",051,06
407435.0,16683.0,14707.0,15142.0,9700.0,15861.0,14456.0,13739.0,9201.0,122788.0,3756.0,124963.0,89606.0,30718.0,18026.0,18401.0,11273.0,5879.0,5309.0,35357.0,27554.0,5956.0,1006.0,674.0,40.0,52.0,75.0,99140.0,6325.0,50461.0,2277.0,13235.0,13765.0,8263.0,6520.0,693.0,805.0,1137.0,910.0,142865.0,3728.0,667.0,240.0,527.0,51288.0,1906.0,12961.0,12406.0,8191.0,5880.0,710.0,875.0,1236.0,714.0,131121.0,3930.0,620.0,97.0,296.0,50330.0,19907.0,1245.0,1287.0,5087.0,4281.0,4614.0,30423.0,5218.0,4676.0,17446.0,17011.0,22525.0,"Monterey County, California",053,06
134051.0,4191.0,4566.0,4322.0,2887.0,3842.0,3897.0,4746.0,2779.0,30160.0,1245.0,49179.0,32917.0,13780.0,6804.0,6780.0,2884.0,1519.0,1150.0,16262.0,12890.0,2845.0,321.0,157.0,49.0,0.0,0.0,31232.0,1837.0,13103.0,418.0,3848.0,3725.0,2393.0,2967.0,420.0,469.0,399.0,373.0,48090.0,765.0,249.0,198.0,121.0,14058.0,537.0,3014.0,4156.0,2470.0,3220.0,394.0,633.0,465.0,258.0,47721.0,607.0,250.0,125.0,51.0,12449.0,3697.0,282.0,216.0,877.0,805.0,702.0,8752.0,1908.0,1290.0,5643.0,6083.0,6752.0,"Napa County, California",055,06
98186.0,2333.0,2664.0,3031.0,2241.0,2006.0,2279.0,3095.0,2034.0,5393.0,515.0,41255.0,27918.0,15265.0,5836.0,4324.0,1485.0,656.0,352.0,13337.0,10316.0,2640.0,255.0,82.0,44.0,0.0,0.0,19850.0,992.0,9514.0,433.0,2189.0,2668.0,2129.0,1273.0,294.0,382.0,304.0,62.0,36769.0,421.0,93.0,59.0,50.0,9711.0,308.0,2026.0,2797.0,1870.0,1312.0,253.0,177.0,298.0,107.0,37258.0,281.0,76.0,0.0,57.0,8398.0,2506.0,133.0,146.0,371.0,506.0,728.0,5892.0,1238.0,724.0,3544.0,4590.0,4704.0,"Nevada County, California",057,06
2965525.0,100277.0,101984.0,107811.0,69600.0,95416.0,98394.0,101800.0,65818.0,903037.0,24096.0,984503.0,699333.0,241324.0,152604.0,159767.0,79589.0,35375.0,30674.0,285170.0,218517.0,51135.0,9612.0,3834.0,1270.0,464.0,338.0,776171.0,41741.0,363975.0,8900.0,83818.0,95955.0,61708.0,62578.0,10054.0,14145.0,10526.0,5483.0,979776.0,19853.0,4021.0,1330.0,2409.0,364316.0,9987.0,81407.0,90003.0,59247.0,67009.0,10559.0,13360.0,10777.0,5024.0,1010455.0,18924.0,3627.0,1020.0,1547.0,279866.0,115043.0,4829.0,5456.0,20527.0,22669.0,24584.0,164823.0,42105.0,34763.0,135165.0,142770.0,158896.0,"Orange County, California",059,06
336477.0,10590.0,11209.0,12923.0,7783.0,10069.0,11606.0,11768.0,7600.0,34019.0,1189.0,129153.0,92254.0,41864.0,18723.0,20346.0,7741.0,2280.0,1300.0,36899.0,29165.0,6631.0,674.0,315.0,114.0,0.0,0.0,79389.0,4169.0,38607.0,1223.0,9477.0,11620.0,7133.0,5815.0,1469.0,1232.0,1171.0,509.0,114110.0,2089.0,500.0,132.0,141.0,38057.0,967.0,9541.0,10127.0,6784.0,7686.0,1499.0,1743.0,1433.0,645.0,120365.0,1575.0,322.0,208.0,171.0,21215.0,6725.0,331.0,333.0,1282.0,1322.0,1521.0,14490.0,5560.0,4488.0,16670.0,17340.0,19320.0,"Placer County, California",061,06
20392.0,429.0,626.0,632.0,466.0,436.0,362.0,501.0,358.0,1171.0,0.0,10090.0,6174.0,3924.0,1037.0,792.0,306.0,71.0,44.0,3916.0,3266.0,637.0,13.0,0.0,0.0,0.0,0.0,3992.0,187.0,2030.0,131.0,530.0,596.0,441.0,259.0,0.0,96.0,26.0,12.0,7884.0,20.0,0.0,10.0,13.0,1737.0,33.0,308.0,480.0,335.0,242.0,27.0,0.0,0.0,0.0,7790.0,204.0,54.0,21.0,23.0,2250.0,868.0,18.0,88.0,84.0,85.0,248.0,1382.0,223.0,188.0,617.0,861.0,900.0,"Plumas County, California",063,06
2109464.0,82312.0,82546.0,90076.0,56683.0,79810.0,80521.0,85342.0,53940.0,471927.0,11847.0,666906.0,493115.0,166876.0,99535.0,104423.0,66354.0,31825.0,24102.0,173791.0,136119.0,30464.0,4118.0,1750.0,907.0,228.0,205.0,526897.0,32644.0,274285.0,7642.0,72120.0,82668.0,52223.0,34712.0,5205.0,6530.0,6230.0,3106.0,692404.0,19917.0,3896.0,1178.0,1354.0,273871.0,7349.0,70231.0,78804.0,49364.0,38812.0,5270.0,7041.0,5543.0,3255.0,699057.0,20416.0,3249.0,995.0,1321.0,258293.0,99134.0,4505.0,6244.0,24353.0,22982.0,25344.0,159159.0,23424.0,26234.0,105343.0,113701.0,127684.0,"Riverside County, California",065,06
