Total Pop,Males < 5,Males 5-9,Males 10-14,Males 15-17,Females < 5,Females 5-9,Females 10-14,Females 15-17,# Foreign Born,Overseas Move Past Year,Total Fam HH,1-person Fam HH,2-person Fam HH,3-person Fam HH,4-person Fam HH,5-person Fam HH,6-person Fam HH,7+-person Fam HH,Total non-Fam HH,1-person non-Fam HH,2-person non-Fam HH,3-person non-Fam HH,4-person non-Fam HH,5-person non-Fam HH,6-person non-Fam HH,7+-person non-Fam HH,Total Female Population,Women 15-50 Who've Given Birth,Total Male Public School,Male Public Age 3-4,Male Public Age 5-9,Male Public Age 10-14,Male Public Age 15-17,Total Male Private School,Male Private Age 3-4,Male Private Age 5-9,Male Private Age 10-14,Male Private Age 15-17,Total Male Not Enrolled,Male Not Enrolled Age 3-4,Male Not Enrolled Age 5-9,Male Not Enrolled Age 10-14,Male Not Enrolled Age 15-17,Total Female Public School,Female Public Age 3-4,Female Public Age 5-9,Female Public Age 10-14,Female Public Age 15-17,Total Female Private School,Female Private Age 3-4,Female Private Age 5-9,Female Private Age 10-14,Female Private Age 15-17,Total Female Not Enrolled,Female Not Enrolled Age 3-4,Female Not Enrolled Age 5-9,Female Not Enrolled Age 10-14,Female Not Enrolled Age 15-17,Total Below Poverty Level Ages 3+,Below Poverty Level Enrolled in School Ages 3+,Below Poverty Level Preschool,Below Poverty Level Kinder,Below Poverty Level Grades 1-4,Below Poverty Level Grades 5-8,Below Poverty Level Grades 9-12,Below Poverty Level Not Enrolled Ages 3+,Above Poverty Level Preschool,Above Poverty Level Kinder,Above Poverty Level Grades 1-4,Above Poverty Level Grades 5-8,Above Poverty Level Grades 9-12,NAME,county,state
754748,23333.0,24319.0,22010.0,13346.0,22370.0,22734.0,21809.0,12519.0,260576.0,8810.0,261010.0,180407.0,66862.0,44100.0,40694.0,17259.0,6570.0,4922.0,80603.0,62070.0,14385.0,2561.0,958.0,375.0,124.0,130.0,180459.0,8642.0,72789.0,2286.0,19102.0,18145.0,10883.0,20176.0,3602.0,4416.0,3522.0,2268.0,264825.0,3690.0,801.0,343.0,195.0,72804.0,2362.0,18128.0,17760.0,9999.0,21026.0,3414.0,4055.0,3716.0,2313.0,276094.0,3315.0,551.0,333.0,207.0,55089.0,19056.0,1219.0,1041.0,3339.0,3619.0,3669.0,36033.0,12853.0,9075.0,31681.0,31088.0,32558.0,"San Mateo County, California",081,06
439395,14607.0,14077.0,13243.0,8521.0,13867.0,12845.0,13897.0,7813.0,101014.0,5200.0,143051.0,93928.0,35481.0,19818.0,17301.0,11768.0,4621.0,4939.0,49123.0,34911.0,9619.0,1896.0,1456.0,561.0,340.0,340.0,108803.0,5007.0,61504.0,1887.0,12314.0,12114.0,7751.0,6403.0,909.0,1285.0,973.0,612.0,143817.0,3376.0,478.0,156.0,158.0,59800.0,1355.0,11031.0,12744.0,7182.0,6768.0,1045.0,1236.0,1004.0,432.0,144297.0,3096.0,578.0,149.0,199.0,63366.0,31288.0,1139.0,951.0,4524.0,4366.0,4165.0,32078.0,5402.0,3981.0,16123.0,17432.0,18417.0,"Santa Barbara County, California",083,06
1885056,61990.0,64960.0,60696.0,35285.0,58694.0,60430.0,59509.0,33654.0,717570.0,34106.0,626579.0,450869.0,154095.0,108876.0,109183.0,45301.0,17955.0,15459.0,175710.0,131528.0,32348.0,6861.0,2859.0,1306.0,439.0,369.0,469642.0,24419.0,204473.0,5379.0,52115.0,52370.0,30455.0,53691.0,9644.0,10853.0,7495.0,4225.0,654697.0,10605.0,1992.0,831.0,605.0,198601.0,4411.0,49148.0,50857.0,28575.0,52160.0,8799.0,9268.0,7810.0,4533.0,650343.0,10755.0,2014.0,842.0,546.0,165216.0,61688.0,2405.0,2342.0,9664.0,10031.0,11634.0,103528.0,30719.0,22366.0,87353.0,85001.0,83437.0,"Santa Clara County, California",085,06
270931,7604.0,7631.0,7861.0,4815.0,7356.0,7355.0,7363.0,4537.0,48738.0,1246.0,95062.0,59553.0,24989.0,12714.0,12403.0,5293.0,2154.0,2000.0,35509.0,25116.0,7422.0,1573.0,723.0,269.0,261.0,145.0,67667.0,3353.0,34792.0,756.0,6517.0,6609.0,4389.0,4345.0,710.0,758.0,986.0,347.0,90736.0,1644.0,356.0,266.0,79.0,35258.0,502.0,6149.0,6481.0,3987.0,4391.0,498.0,706.0,801.0,419.0,92564.0,2005.0,500.0,81.0,131.0,37601.0,16546.0,449.0,664.0,1830.0,1997.0,2102.0,21055.0,2736.0,2247.0,9585.0,9665.0,10822.0,"Santa Cruz County, California",087,06
179228,5254.0,5362.0,5622.0,3650.0,5212.0,5619.0,4882.0,3221.0,8614.0,809.0,69713.0,44734.0,23794.0,8980.0,6563.0,3429.0,1392.0,576.0,24979.0,20021.0,3725.0,832.0,294.0,62.0,30.0,15.0,37768.0,1727.0,17994.0,822.0,4509.0,4946.0,3324.0,3010.0,240.0,753.0,525.0,222.0,63810.0,1103.0,100.0,151.0,104.0,17875.0,631.0,4865.0,4224.0,2939.0,3576.0,446.0,530.0,520.0,237.0,66930.0,1191.0,224.0,138.0,45.0,29491.0,10442.0,607.0,652.0,2415.0,1887.0,1877.0,19049.0,1651.0,1745.0,6035.0,6625.0,6608.0,"Shasta County, California",089,06
2931,37.0,80.0,72.0,31.0,66.0,74.0,58.0,7.0,127.0,0.0,1275.0,781.0,563.0,109.0,52.0,46.0,11.0,0.0,494.0,429.0,65.0,0.0,0.0,0.0,0.0,0.0,435.0,8.0,206.0,6.0,71.0,64.0,31.0,17.0,0.0,9.0,8.0,0.0,1203.0,8.0,0.0,0.0,0.0,162.0,4.0,53.0,51.0,7.0,42.0,9.0,21.0,7.0,0.0,1255.0,30.0,0.0,0.0,0.0,320.0,58.0,13.0,6.0,26.0,6.0,7.0,262.0,15.0,7.0,126.0,88.0,88.0,"Sierra County, California",091,06
43668,1101.0,1292.0,1238.0,821.0,1187.0,1368.0,1096.0,738.0,2160.0,40.0,19045.0,11736.0,6584.0,2242.0,1777.0,732.0,277.0,124.0,7309.0,6070.0,1094.0,111.0,26.0,3.0,0.0,5.0,7894.0,385.0,3966.0,124.0,1132.0,1142.0,713.0,378.0,66.0,78.0,71.0,57.0,16639.0,181.0,82.0,25.0,51.0,4082.0,95.0,1190.0,918.0,674.0,634.0,58.0,126.0,155.0,44.0,16421.0,216.0,52.0,23.0,20.0,8955.0,2509.0,104.0,264.0,714.0,510.0,337.0,6446.0,311.0,281.0,1347.0,1311.0,1660.0,"Siskiyou County, California",093,06
429596,13492.0,13518.0,14718.0,8629.0,12990.0,13971.0,13039.0,8483.0,86456.0,3009.0,145315.0,104617.0,40199.0,24411.0,21572.0,11201.0,4255.0,2979.0,40698.0,31624.0,7200.0,1312.0,355.0,125.0,40.0,42.0,101553.0,4967.0,47750.0,1242.0,11592.0,13332.0,7556.0,7815.0,1233.0,1457.0,1139.0,740.0,150039.0,3103.0,469.0,247.0,333.0,46888.0,1478.0,12117.0,11669.0,7789.0,7206.0,1028.0,1220.0,1116.0,555.0,154868.0,3368.0,634.0,254.0,139.0,50185.0,17441.0,1232.0,994.0,4186.0,3210.0,3970.0,32744.0,4725.0,4092.0,17333.0,18429.0,19543.0,"Solano County, California",095,06
497776,13469.0,15135.0,14698.0,9229.0,12973.0,13936.0,14421.0,8814.0,83650.0,1777.0,189043.0,119869.0,51566.0,27591.0,24118.0,10270.0,3496.0,2828.0,69174.0,52728.0,12950.0,2278.0,917.0,201.0,22.0,78.0,112392.0,5351.0,52709.0,1452.0,13096.0,13317.0,8139.0,6711.0,1218.0,1661.0,1145.0,904.0,176466.0,2766.0,378.0,236.0,186.0,54290.0,1367.0,12375.0,12810.0,7770.0,7827.0,1503.0,1013.0,1450.0,871.0,184562.0,2925.0,548.0,161.0,173.0,52718.0,17604.0,813.0,905.0,3213.0,2793.0,3169.0,35114.0,5977.0,5747.0,18843.0,19868.0,21045.0,"Sonoma County, California",097,06
530561,19913.0,19762.0,21899.0,12626.0,19154.0,19956.0,20066.0,12184.0,107953.0,2219.0,170328.0,125982.0,42220.0,27372.0,27254.0,16093.0,7968.0,5075.0,44346.0,34967.0,7636.0,1015.0,510.0,147.0,8.0,63.0,129333.0,7787.0,68342.0,2190.0,18079.0,20941.0,11637.0,5817.0,976.0,920.0,782.0,554.0,176129.0,4884.0,763.0,176.0,435.0,69562.0,2292.0,18231.0,18780.0,11539.0,6688.0,815.0,1019.0,853.0,431.0,180743.0,4630.0,706.0,433.0,214.0,89890.0,34398.0,2013.0,2304.0,8061.0,7261.0,7819.0,55492.0,5239.0,5646.0,22450.0,25498.0,26179.0,"Stanislaus County, California",099,06
95406,3476.0,3808.0,3537.0,2186.0,3128.0,3927.0,3047.0,2071.0,21553.0,882.0,32028.0,23502.0,8352.0,5246.0,4615.0,2483.0,1509.0,1297.0,8526.0,6932.0,1276.0,199.0,48.0,35.0,36.0,0.0,22102.0,1464.0,12187.0,482.0,3389.0,3351.0,2056.0,1189.0,116.0,248.0,180.0,68.0,32244.0,1012.0,171.0,6.0,62.0,11932.0,486.0,3473.0,2840.0,1871.0,1342.0,152.0,271.0,168.0,121.0,32787.0,631.0,183.0,39.0,79.0,15594.0,6059.0,280.0,357.0,1559.0,1153.0,1268.0,9535.0,1069.0,907.0,4781.0,4011.0,4818.0,"Sutter County, California",101,06
63015,2027.0,2527.0,1969.0,1262.0,1832.0,1959.0,2216.0,1367.0,5243.0,131.0,23573.0,16133.0,7547.0,3245.0,3000.0,1588.0,437.0,316.0,7440.0,5792.0,1507.0,91.0,33.0,17.0,0.0,0.0,13357.0,650.0,6720.0,286.0,2372.0,1823.0,1161.0,524.0,82.0,119.0,108.0,89.0,22762.0,286.0,36.0,38.0,12.0,7449.0,128.0,1882.0,2138.0,1220.0,636.0,137.0,25.0,50.0,147.0,22355.0,371.0,52.0,28.0,0.0,12519.0,4608.0,264.0,270.0,1423.0,900.0,934.0,7911.0,475.0,607.0,2177.0,2585.0,2452.0,"Tehama County, California",103,06
13180,308.0,198.0,403.0,213.0,273.0,412.0,253.0,217.0,642.0,0.0,5468.0,3450.0,2313.0,517.0,363.0,162.0,44.0,51.0,2018.0,1664.0,354.0,0.0,0.0,0.0,0.0,0.0,2296.0,88.0,1197.0,102.0,164.0,382.0,205.0,68.0,0.0,26.0,21.0,0.0,5370.0,89.0,8.0,0.0,8.0,1060.0,73.0,366.0,240.0,179.0,68.0,0.0,4.0,13.0,7.0,5162.0,62.0,42.0,0.0,31.0,2532.0,634.0,31.0,16.0,120.0,111.0,224.0,1898.0,175.0,118.0,310.0,423.0,393.0,"Trinity County, California",105,06
455769,20394.0,20989.0,20198.0,11806.0,19421.0,20131.0,19492.0,11514.0,102459.0,1621.0,134153.0,104581.0,29809.0,21514.0,23923.0,15344.0,8074.0,5917.0,29572.0,23513.0,4712.0,875.0,241.0,64.0,97.0,70.0,110424.0,7356.0,65013.0,2598.0,19542.0,19371.0,11143.0,4027.0,581.0,633.0,663.0,354.0,147352.0,5644.0,814.0,164.0,309.0,65767.0,2686.0,18789.0,18342.0,11020.0,4989.0,496.0,712.0,811.0,341.0,145959.0,5148.0,630.0,339.0,153.0,118668.0,48545.0,3016.0,3431.0,12215.0,11684.0,11742.0,70123.0,3952.0,4871.0,19533.0,19723.0,21078.0,"Tulare County, California",107,06
53864,1099.0,1452.0,1171.0,850.0,1189.0,1330.0,1113.0,779.0,2498.0,35.0,22083.0,14103.0,7875.0,2881.0,1795.0,952.0,235.0,365.0,7980.0,6446.0,1337.0,163.0,22.0,0.0,12.0,0.0,9195.0,368.0,4947.0,158.0,1288.0,1054.0,705.0,574.0,65.0,116.0,117.0,122.0,21995.0,258.0,48.0,0.0,23.0,4202.0,72.0,1214.0,967.0,734.0,479.0,51.0,107.0,146.0,45.0,20358.0,375.0,9.0,0.0,0.0,6879.0,1348.0,132.0,125.0,260.0,179.0,319.0,5531.0,432.0,511.0,1585.0,1700.0,1853.0,"Tuolumne County, California",109,06
843110,27163.0,27416.0,30735.0,18490.0,26190.0,28395.0,28036.0,17743.0,192397.0,4582.0,269338.0,198043.0,70180.0,44539.0,43064.0,21736.0,9778.0,8746.0,71295.0,56285.0,11180.0,2389.0,935.0,301.0,92.0,113.0,201075.0,10600.0,98175.0,3448.0,24067.0,27775.0,16703.0,16030.0,2957.0,2606.0,2684.0,1433.0,288129.0,5650.0,743.0,276.0,354.0,96398.0,3361.0,24525.0,24623.0,15807.0,17800.0,2598.0,3117.0,2803.0,1644.0,296943.0,5704.0,753.0,610.0,292.0,83491.0,30212.0,1786.0,1745.0,7720.0,5484.0,6629.0,53279.0,12935.0,9145.0,36050.0,40082.0,42815.0,"Ventura County, California",111,06
209671,6367.0,6635.0,6219.0,4032.0,5986.0,6090.0,6321.0,3803.0,46465.0,3278.0,72544.0,45034.0,17134.0,10938.0,9923.0,4334.0,1466.0,1239.0,27510.0,17497.0,5734.0,1914.0,1476.0,509.0,277.0,103.0,59521.0,2255.0,34373.0,767.0,5693.0,5777.0,3715.0,3062.0,602.0,705.0,365.0,214.0,61039.0,1204.0,237.0,77.0,103.0,36997.0,696.0,5320.0,5927.0,3623.0,3218.0,714.0,598.0,334.0,159.0,64067.0,1455.0,172.0,60.0,21.0,37648.0,23557.0,519.0,353.0,1772.0,1768.0,1634.0,14091.0,2735.0,2363.0,7771.0,8312.0,8970.0,"Yolo County, California",113,06
73897,3157.0,2986.0,2959.0,1630.0,2966.0,3026.0,2378.0,1504.0,8962.0,662.0,25655.0,18451.0,6684.0,3921.0,4059.0,2076.0,1082.0,629.0,7204.0,5240.0,1492.0,362.0,82.0,28.0,0.0,0.0,17392.0,1349.0,9782.0,550.0,2835.0,2886.0,1501.0,982.0,84.0,81.0,38.0,108.0,24757.0,573.0,70.0,35.0,21.0,9417.0,307.0,2882.0,2271.0,1425.0,986.0,215.0,58.0,77.0,15.0,24430.0,851.0,86.0,30.0,64.0,13754.0,5450.0,251.0,504.0,1169.0,1204.0,1422.0,8304.0,1231.0,833.0,3472.0,2979.0,2969.0,"Yuba County, California",115,06
