NAME,county,Total Pop,% Foreign Born,% Overseas Move Past Year,Birthrate Past Year,% School Aged,Ave HH Size,% Not Enrolled,% School-Aged Below Poverty Line
"Alameda County, California",001,1605217,31.694219535427298,1.2408914184188182,4.892694025770624,17.875340218799078,2.477222644074277,550065.5993001972,63.306358864981284
"Alpine County, California",003,1184,3.125,0.6756756756756757,5.05050505050505,22.972972972972975,2.437777777777778,615.5735294117646,77.94117647058823
"Amador County, California",005,36963,6.097989881773666,0.13527040554067582,5.16061084781464,13.597381164948732,2.240477453580902,15909.169916434541,69.79705531237565
"Butte County, California",007,223877,7.8172389303054794,0.3166917548475279,4.9343801937073755,17.33228513871456,2.108412568897474,75632.77086823183,115.9214493724712
"Calaveras County, California",009,44787,5.9235939000156295,0.15406256279724026,2.7051282051282053,15.607207448589994,2.255588737201365,17929.542203147354,78.14020028612303
"Colusa County, California",011,21361,24.97074107017462,0.280885726323674,7.588606218743204,23.57099386732831,2.9657839231310055,7824.093346573982,51.996027805362466
"Contra Costa County, California",013,1107925,24.398312160119143,0.8208136832366812,4.947659192283599,20.258591511158247,2.65798495553221,376204.65582535084,47.600356426821115
"Del Norte County, California",015,27628,5.657304184160996,0.09772694368032431,9.278350515463918,18.19892862313595,2.12202562538133,11673.486077963405,96.77804295942721
"El Dorado County, California",017,183000,9.37704918032787,0.31202185792349724,4.697611248701765,18.398907103825138,2.457137615941115,67500.02435402435,51.44342144342144
"Fresno County, California",019,963160,21.363636363636363,0.4663814942481,5.976559687236593,24.1974334482329,2.897466220202587,312725.24972110183,100.59212220029177
"Glenn County, California",021,27976,19.012725193022593,0.26093794681155275,9.117408906882591,22.966113811838717,2.601628562480426,10032.120622568093,82.3035019455253
"Humboldt County, California",023,135182,5.323193916349809,0.19455252918287938,5.289828204177481,16.343152194818835,1.9929093700398115,47615.62485855248,120.80749558683746
"Imperial County, California",025,178807,31.84495014177297,0.9496272517295185,6.80181057140076,24.1181832926004,3.1398488216985325,60258.20753623189,87.73797101449276
