NAME,county,Total Pop,% Foreign Born,% Overseas Move Past Year,Birthrate Past Year,% School Aged,Ave HH Size,% Not Enrolled,% School-Aged Below Poverty Line
"Merced County, California",047,250699.0,24.81102836469232,0.24690964064475726,8.157811511701455,26.90198205816537,3.2027601916055337,10.585234939133787,27.864499517219183
"Modoc County, California",049,9605.0,6.600728787090057,0.0,5.335533553355336,20.041644976574702,2.154719791472724,13.662337662337661,29.737783075089393
"Mono County, California",051,13905.0,18.43941028407048,0.6400575332614168,2.052349791790601,19.144192736425747,2.1601882985877605,7.776108189331329,14.518976169461606
"Monterey County, California",053,407435.0,30.136831641856983,0.9218648373360169,6.379866854952593,22.258274325966106,2.8302332834331336,11.397318278052223,19.803333733061518
"Napa County, California",055,134051.0,22.4988996725127,0.9287509977545859,5.881787909836065,19.72831235872914,2.44508794181018,9.211222869242985,11.735483345549312
"Nevada County, California",057,98186.0,5.492636424744872,0.524514696596256,4.997481108312343,17.865072413582382,2.271138628370457,5.871957129012029,11.292256053704147
"Orange County, California",059,2965525.0,30.451168005665103,0.8125374090591043,5.377809786760907,21.158681852285852,2.7410467104522187,8.541179920505652,13.191914344231822
"Placer County, California",061,336477.0,10.110349295791393,0.35336739212487034,5.251357240927584,21.366690739634507,2.537151012935707,7.104904442651681,7.025393518858099
"Plumas County, California",063,20392.0,5.742448018830914,0.0,4.68436873747495,17.006669282071403,1.9380265600456947,9.659746251441753,15.791062801932368
"Riverside County, California",065,2109464.0,22.371891627446594,0.5616118596951643,6.195518289153288,24.53940906315538,2.9241653056927763,10.114749348015067,17.38757101710246
"Sacramento County, California",067,1395144.0,19.623063999128405,0.5623792239367406,5.716506052981848,21.847637233145825,2.4199997368340256,8.980138186256175,19.107818721596107
"San Benito County, California",069,54492.0,21.26183659986787,1.7378697790501358,4.922073214932947,25.438596491228072,3.209463130340297,9.702784590968113,12.767947618676438
"San Bernardino County, California",071,2005287.0,21.574517762295372,0.5822109254186558,6.074312796208531,25.39212591514332,3.1180963356676807,10.22869880298909,19.291640877409037
"San Diego County, California",073,3022468.0,23.109789747980788,1.1477044587403407,5.58659217877095,19.84818366976921,2.4540131888936076,8.514681491236113,16.037321001751863
"San Francisco County, California",075,789172.0,35.61479626748035,1.3452073819142087,3.8893387805610398,10.732514584906712,1.6683404175366146,7.824269758435855,12.610486200749893
"San Joaquin County, California",077,673613.0,23.30433052806285,0.5967818317045545,6.830233619111382,25.22323648741933,2.9865074040620208,9.731794452259177,20.443466356180508
"San Luis Obispo County, California",079,265577.0,9.999359884327333,0.48460521807234813,4.764738043932718,16.67840212066557,2.2031461121620275,8.448096807694045,11.80292365998917
"San Mateo County, California",081,704327.0,33.96504748504601,0.930107748247618,5.48680618744313,18.53741230990719,2.4884409688524154,7.358077264789682,8.965187591648911
"Santa Barbara County, California",083,416051.0,23.743483371029033,1.0782331973724375,5.249969612820585,19.56611088544433,2.429191907646588,8.666543824089429,16.429959046518956
"Santa Clara County, California",085,1739396.0,36.991576386285814,1.4458467192059772,6.133586689940122,19.95836485768623,2.6629467552331088,8.214198268784836,10.966969973535686
"Santa Cruz County, California",087,256901.0,18.395023764018045,0.6944309286456651,5.198391259979591,18.2194697568324,2.3176754996229993,8.289535529632953,14.1451497220728
"Shasta County, California",089,176906.0,5.101579369834828,0.3346409957830712,5.825024364645026,19.737600759725503,2.310731100167758,9.393705072027952,21.60968840671124
"Sierra County, California",091,3366.0,5.258467023172905,0.0,0.5244755244755245,16.488413547237077,1.88927680798005,21.8018018018018,27.419354838709676
"Siskiyou County, California",093,44690.0,5.8290445289774,0.17453569031103155,5.311334614080687,17.816066234056834,2.045705279747833,7.372519467470484,20.69012362450754
"Solano County, California",095,410042.0,19.907472893020714,0.6265211856346423,6.600524842205899,21.389028440988973,2.6900092636779607,10.142068776794673,13.375289263281623
"Sonoma County, California",097,474047.0,16.586540996989747,0.4149377593360996,4.680521173786262,19.102325296858748,2.25870539887893,8.917331095258078,11.235056909017157
"Stanislaus County, California",099,509682.0,20.369759967980034,0.5625076027797725,6.492876021976836,24.67205041574943,2.9301065585341752,10.172645508115373,22.07011047658783
"Sutter County, California",101,93420.0,22.285377863412545,1.5831727681438663,6.367057587957291,23.584885463498182,2.877266387726639,11.264920800617256,18.827699835238903
"Tehama County, California",103,62575.0,10.796644027167398,0.24290850978825412,7.913566113337149,22.229324810227727,2.4478316736267267,9.345794392523365,29.30888358116958
"Trinity County, California",105,13701.0,3.101963360338661,0.8320560543026055,5.085374907201188,16.261586745493027,2.089374379344588,10.143626570915618,15.356004250797026
"Tulare County, California",107,429404.0,23.118787901370272,0.5360918854971076,8.25783021441945,27.221916889456082,3.2592049336358184,11.623549943537624,30.148468333020105
"Tuolumne County, California",109,56074.0,3.9323037414844673,0.16763562435353282,5.50351288056206,15.661447373114099,2.115669043276405,5.534046914142564,13.706259837752754
"Ventura County, California",111,809080.0,22.866836406783012,0.6477727789588175,5.488513276348769,22.34846986700944,2.862694463878738,7.938412870471249,12.37248863469717
"Yolo County, California",113,196418.0,20.444663931004285,1.0319828121658912,4.812722690536195,19.54556099746459,2.3308417255686913,8.14774296058972,15.781117096682735
"Yuba County, California",115,71160.0,13.109893198426082,0.8094435075885328,8.259305071404475,24.141371557054526,2.8494630739837934,11.81675301239886,26.39905857740586
"Alameda County, California",001,1477980.0,30.81496366662607,1.0722066604419547,4.8624425690806525,19.054046739468735,2.3467663725958814,7.877776396853861,14.427957318553434
