Year,COUNTY,ENROLLMENT,DTP#,cnty_vac_rate
2001,SANTA CRUZ,3418.0,3161.0,92.48098303101229
2001,SHASTA,2117.0,1959.0,92.5366084081247
2001,SIERRA,31.0,27.0,87.09677419354838
2001,SISKIYOU,439.0,392.0,89.29384965831434
2001,SOLANO,5870.0,5653.0,96.30323679727427
2001,SONOMA,5823.0,5461.0,93.78327322685901
2001,STANISLAUS,8103.0,7839.0,96.74194742687894
2001,SUTTER,1231.0,1207.0,98.05036555645816
2001,TEHAMA,797.0,741.0,92.97365119196989
2001,TRINITY,113.0,105.0,92.92035398230088
2001,TULARE,7306.0,7052.0,96.52340542020256
2001,TUOLUMNE,564.0,480.0,85.1063829787234
2001,VENTURA,12034.0,11346.0,94.28286521522354
2001,YOLO,2285.0,2181.0,95.44857768052516
2001,YUBA,1220.0,1105.0,90.57377049180327
2002,ALAMEDA,18304.0,17314.0,94.59134615384616
2002,AMADOR,336.0,329.0,97.91666666666666
2002,BUTTE,2365.0,2212.0,93.5306553911205
2002,CALAVERAS,424.0,390.0,91.98113207547169
2002,COLUSA,311.0,294.0,94.53376205787781
2002,CONTRA COSTA,13572.0,13167.0,97.0159151193634
2002,DEL NORTE,327.0,317.0,96.94189602446484
2002,EL DORADO,1992.0,1844.0,92.570281124498
2002,FRESNO,14560.0,14208.0,97.58241758241758
2002,GLENN,449.0,440.0,97.9955456570156
2002,HUMBOLDT,1383.0,1287.0,93.058568329718
2002,IMPERIAL,2566.0,2511.0,97.85658612626656
2002,INYO,184.0,182.0,98.91304347826086
2002,KERN,11963.0,11400.0,95.2938226197442
2002,KINGS,2295.0,2255.0,98.25708061002179
2002,LAKE,734.0,672.0,91.55313351498637
2002,LASSEN,381.0,333.0,87.4015748031496
2002,LOS ANGELES,147061.0,139711.0,95.00207396930526
2002,LPINE,12.0,11.0,91.66666666666666
2002,MADERA,2232.0,2129.0,95.3853046594982
2002,MARIN,2675.0,2506.0,93.6822429906542
2002,MARIPOSA,157.0,148.0,94.26751592356688
