County,cases_2010,pop_2010,sick_rate_2010,vax_rate_2010,cases_2011,pop_2011,sick_rate_2011,vax_rate_2011,cases_2012,pop_2012,sick_rate_2012,vax_rate_2012,cases_2013,pop_2013,sick_rate_2013,vax_rate_2013,cases_2014,pop_2014,sick_rate_2014,vax_rate_2014,cases_2015,pop_2015,sick_rate_2015,vax_rate_2015
Monterey,132,"415,052",3.180324393,95.32270311,38,"416,475",0.912419713,95.09832697,17,"421,162",0.403645153,94.81873112,49,"426,094",1.14998099,92.533027,129,"428,382",3.011331008,90.63130585,76,"430,416",1.765733616,95.70561018
Napa,25,"136,530",1.831099392,94.70588235,11,"136,794",0.804128836,94.36860068,6,"137,905",0.435082122,94.70553242,13,"138,876",0.936086869,93.60703812,137,"139,978",9.787252283,94.79553903,49,"140,918",3.477199506,94.68457944
Nevada,23,"98,748",2.329161097,76.91292876,2,"98,791",0.202447591,73.17073171,5,"98,714",0.506513767,70.37484885,71,"98,173",7.232131034,75.02986858,16,"97,992",1.63278635,74.5823389,3,"98,614",0.30421644,78.85714286
Orange,499,"3,010,265",1.657661369,91.90280447,142,"3,017,116",0.470648129,91.98666443,73,"3,053,465",0.23907266,92.11784193,113,"3,085,386",0.366242668,91.0474276,447,"3,113,649",1.435614612,92.16422372,162,"3,136,750",0.516458117,93.78925164
Placer,80,"348,494",2.29559189,91.47286822,19,"350,034",0.542804413,88.31439394,11,"356,445",0.30860301,87.17902351,83,"360,569",2.301917247,88.04543815,120,"365,822",3.280283854,88.09480401,49,"369,727",1.325302182,90.49789621
Plumas,2,"20,007",0.999650122,89.50617284,4,"19,914",2.00863714,91.75824176,0,"19,716",0,89.69072165,1,"19,377",0.51607576,84.07643312,1,"18,899",0.529128525,85,2,"18,667",1.071409439,87.36263736
Riverside,467,"2,189,753",2.132660624,95.57162082,166,"2,202,001",0.753859785,95.13588682,46,"2,235,890",0.205734629,95.0855393,80,"2,264,804",0.35323145,94.77990218,469,"2,291,406",2.046778266,95.42106948,182,"2,321,738",0.783895513,95.88103353
Sacramento,175,"1,418,742",1.233487132,88.02560366,69,"1,421,651",0.485351187,86.88581659,34,"1,434,506",0.237015391,87.1670082,71,"1,446,585",0.490811117,87.33121318,446,"1,459,474",3.05589548,88.99907512,286,"1,477,522",1.935673377,89.77112591
San Benito,7,"55,269",1.266532776,96.49122807,3,"55,532",0.540229057,97.13024283,1,"56,034",0.178463076,97.19101124,1,"56,701",0.176363733,97.20982143,11,"57,370",1.917378421,97.27272727,7,"57,974",1.207437817,97.03872437
San Bernardino,182,"2,035,212",0.894255734,95.48836623,115,"2,041,234",0.563384698,95.45551917,54,"2,062,381",0.261833289,95.34279995,38,"2,076,601",0.18299134,94.48139936,206,"2,086,732",0.987189538,95.05989359,91,"2,104,038",0.432501694,95.59798462
San Diego,1140,"3,095,342",3.682953289,93.4228285,398,"3,103,793",1.282302009,93.19477739,161,"3,139,767",0.512776904,92.49169279,408,"3,179,798",1.283100373,91.90257054,2019,"3,216,522",6.276966239,93.64780884,895,"3,256,875",2.748033007,94.41237386
San Francisco,141,"805,193",1.751132958,91.11418048,71,"805,770",0.881144744,90.87787399,30,"816,294",0.367514645,91.37178136,59,"830,406",0.71049583,90.68094874,131,"841,270",1.557169518,88.53415196,69,"853,258",0.80866514,93.77819256
San Joaquin,84,"685,308",1.225726243,96.70819314,28,"687,291",0.407396576,97.45687356,15,"695,071",0.215805292,97.3696023,26,"700,958",0.37092094,96.54732623,214,"703,747",3.040865538,96.40933573,81,"713,452",1.135325152,96.82982917
San Luis Obispo,371,"269,591",13.761587,89.77059045,15,"269,819",0.555928233,89.4092219,14,"271,150",0.51631938,89.63333333,17,"274,378",0.619583203,87.3603352,45,"275,973",1.630594297,89.48087432,21,"278,534",0.753947453,91.11328125
San Mateo,191,"718,500",2.658315936,91.51481888,58,"719,899",0.805668573,93.1835206,23,"729,022",0.315491165,94.09842976,104,"740,644",1.404183386,92.91321647,128,"750,345",1.705881961,94.86212839,40,"759,156",0.526900927,96.33065347
Santa Barbara,66,"423,949",1.556791029,94.71276055,18,"424,338",0.42419015,94.94244855,11,"426,058",0.258180811,93.15206445,29,"430,827",0.673124015,93.00444162,120,"435,980",2.752419836,95.54140127,66,"440,628",1.497862142,95.80775565
Santa Clara,478,"1,781,671",2.682874672,95.52291839,175,"1,786,542",0.979545961,95.79173706,45,"1,813,812",0.248096275,95.1362497,253,"1,841,868",1.373605492,94.41604858,537,"1,870,935",2.870222643,95.19623876,149,"1,896,246",0.785763029,95.88920726
Santa Cruz,87,"262,366",3.315978442,85.21662763,22,"263,216",0.835815452,86.72813635,13,"265,103",0.490375439,85.6251772,54,"266,794",2.024033524,87.00721821,166,"269,395",6.161955493,86.4010989,79,"271,529",2.909449819,89.36895964
Shasta,32,"177,223",1.805634709,84.88931665,27,"177,284",1.522980077,84.16021848,2,"177,595",0.112615783,83.83262007,7,"177,917",0.393441886,80.66058236,33,"178,445",1.849309311,86.32204941,15,"178,983",0.83806842,85.07877665
Sierra,0,"3,240",0,92.85714286,0,"3,221",0,96,0,"3,100",0,100,0,"3,068",0,100,0,"3,030",0,100,0,"2,979",0,100
Siskiyou,10,"44,900",2.227171492,83.40707965,0,"44,939",0,85.05747126,2,"44,614",0.448289775,84.46389497,5,"44,082",1.134249807,82.90398126,7,"43,543",1.607606274,86.36363636,6,"43,390",1.382807098,86.8852459
Solano,40,"413,344",0.967716962,96.35346325,12,"414,076",0.289801872,95.9749383,10,"416,652",0.240008448,95.47738693,15,"420,267",0.356915961,95.67164179,144,"424,384",3.393153371,95.58515699,42,"429,993",0.976760087,95.61403509
Sonoma,246,"483,870",5.084010168,90.65088757,116,"484,827",2.392606022,91.53245891,18,"487,822",0.368987049,91.00107313,51,"490,740",1.039246852,91.04661933,704,"495,007",14.2220211,91.92700278,34,"499,563",0.68059484,93.43087489
Stanislaus,159,"514,451",3.090673359,95.37661109,43,"515,242",0.834559294,94.66744457,11,"518,034",0.212341275,94.3809636,16,"521,349",0.306896148,94.12668789,92,"524,625",1.753633548,94.34026209,38,"529,544",0.717598538,95.61225579
Sutter,5,"94,743",0.527743474,91.03528051,1,"94,764",0.105525305,91.20617944,0,"94,560",0,88.9158086,2,"94,342",0.211994658,91.20559115,8,"94,702",0.844755127,91.41304348,2,"94,983",0.210563996,90.45861887
Tehama,10,"63,440",1.57629256,93.92712551,1,"63,563",0.15732423,95.49450549,0,"63,347",0,93.94618834,0,"63,241",0,95.18072289,38,"62,916",6.039799097,95.77167019,5,"62,820",0.795924865,94.80122324
Trinity,0,"13,780",0,81.89655172,0,"13,749",0,83.95061728,0,"13,677",0,80.21978022,0,"13,482",0,75.51020408,6,"13,422",4.470272687,87.35632184,6,"13,122",4.572473708,76.8
Tulare,230,"442,178",5.201525178,97.40478193,77,"443,060",1.737913601,96.89295345,27,"447,358",0.603543471,95.96064815,25,"450,779",0.554595489,97.04427832,37,"453,663",0.815583374,97.25393065,86,"456,452",1.884097342,97.55464185
Tuolumne,32,"55,365",5.779824799,79.77011494,4,"55,188",0.724795245,80.56680162,1,"54,832",0.182375255,78.92376682,2,"54,237",0.368751959,76.83397683,16,"54,018",2.961975638,82.42009132,9,"53,852",1.671247122,81.71846435
Ventura,372,"823,391",4.517902187,91.58918005,162,"825,298",1.96292733,91.44579308,15,"830,990",0.180507587,91.35833333,37,"835,143",0.443037899,90.7714553,347,"840,175",4.130091945,91.84096946,107,"844,749",1.266648436,94.88987482
Yolo,17,"200,850",0.846402788,91.99339662,5,"201,101",0.248631285,94.23676012,6,"202,082",0.296909175,93.47464672,4,"204,890",0.195226707,92.91585127,147,"206,650",7.113476893,94.14850686,83,"208,873",3.973706511,93.25469959
Yuba,3,"72,146",0.415823469,89.86820428,0,"72,351",0,91.32569558,1,"72,511",0.13791011,90.17059301,4,"72,832",0.549209139,93.87755102,10,"73,159",1.366885824,96.64268585,3,"73,642",0.407376226,96.02888087
