table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,
Geographic Area,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
.Plumas County,"20,817","20,754","20,820","20,866","20,957","21,000","21,010","20,762","20,667","20,410","20,169","20,007","19,914","19,716","19,377","18,899","18,667","18,525","18,787","18,742"
.Riverside County,"1,545,320","1,558,985","1,616,634","1,687,147","1,771,656","1,856,542","1,931,785","2,012,370","2,075,183","2,109,712","2,146,725","2,189,753","2,202,001","2,235,890","2,264,804","2,291,406","2,321,738","2,352,080","2,386,522","2,423,266"
.Sacramento County,"1,223,578","1,229,940","1,266,257","1,301,079","1,328,531","1,348,932","1,360,816","1,369,563","1,381,161","1,394,438","1,408,601","1,418,742","1,421,651","1,434,506","1,446,585","1,459,474","1,477,522","1,496,130","1,513,260","1,530,615"
.San Benito County,"53,214","53,781","54,644","55,056","55,198","54,849","54,647","54,124","54,072","54,267","54,436","55,269","55,532","56,034","56,701","57,370","57,974","58,364","59,335","60,310"
.San Bernardino County,"1,709,479","1,718,037","1,760,731","1,799,791","1,846,115","1,899,065","1,943,924","1,974,140","1,992,161","2,003,735","2,013,960","2,035,212","2,041,234","2,062,381","2,076,601","2,086,732","2,104,038","2,120,794","2,137,131","2,157,404"
.San Diego County,"2,813,839","2,827,366","2,869,672","2,900,355","2,914,702","2,930,007","2,938,375","2,947,289","2,975,742","3,022,116","3,061,203","3,095,342","3,103,793","3,139,767","3,179,798","3,216,522","3,256,875","3,290,044","3,317,200","3,337,685"
.San Francisco County,"776,764","777,885","780,865","772,723","766,160","761,325","763,016","768,650","778,673","791,152","801,922","805,193","805,770","816,294","830,406","841,270","853,258","866,320","876,103","884,363"
.San Joaquin County,"563,660","567,885","591,207","609,041","626,778","642,898","656,985","662,812","668,080","671,692","677,736","685,308","687,291","695,071","700,958","703,747","713,452","723,846","734,294","745,424"
.San Luis Obispo County,"246,746","247,839","251,462","253,083","254,674","256,842","258,615","260,498","262,770","266,358","268,145","269,591","269,819","271,150","274,378","275,973","278,534","280,402","282,282","283,405"
.San Mateo County,"707,099","707,820","705,621","697,628","693,057","690,161","690,078","690,176","693,849","703,830","713,617","718,500","719,899","729,022","740,644","750,345","759,156","766,779","769,561","771,410"
.Santa Barbara County,"399,293","399,990","403,164","405,178","406,810","407,284","408,079","408,085","411,243","415,859","420,356","423,949","424,338","426,058","430,827","435,980","440,628","443,927","446,296","448,150"
.Santa Clara County,"1,682,781","1,684,947","1,688,082","1,669,348","1,663,592","1,663,167","1,675,312","1,691,159","1,712,026","1,740,964","1,765,137","1,781,671","1,786,542","1,813,812","1,841,868","1,870,935","1,896,246","1,919,220","1,931,575","1,938,153"
.Santa Cruz County,"255,614","255,835","256,045","254,531","253,021","252,356","251,377","251,616","253,304","256,520","260,009","262,366","263,216","265,103","266,794","269,395","271,529","274,299","275,196","275,897"
.Shasta County,"163,242","163,615","166,408","170,198","173,202","174,867","175,615","176,166","176,548","177,247","177,279","177,223","177,284","177,595","177,917","178,445","178,983","178,472","178,774","179,921"
.Sierra County,"3,559","3,574","3,518","3,482","3,511","3,430","3,378","3,424","3,373","3,320","3,248","3,240","3,221","3,100","3,068","3,030","2,979","2,994","2,964","2,999"
.Siskiyou County,"44,305","44,218","43,908","43,965","44,287","44,394","44,641","44,487","44,465","44,780","44,788","44,900","44,939","44,614","44,082","43,543","43,390","43,351","43,511","43,853"
.Solano County,"394,495","396,974","404,209","408,226","408,409","409,301","408,181","408,402","408,243","408,972","410,290","413,344","414,076","416,652","420,267","424,384","429,993","434,751","440,318","445,458"
.Sonoma County,"458,586","460,421","465,293","465,298","466,489","466,809","465,938","465,188","467,356","473,091","479,479","483,870","484,827","487,822","490,740","495,007","499,563","502,096","503,833","504,217"
.Stanislaus County,"446,850","449,471","463,761","477,469","487,357","492,613","500,020","504,651","507,834","509,032","511,536","514,451","515,242","518,034","521,349","524,625","529,544","535,000","541,353","547,899"
.Sutter County,"78,947","79,192","80,138","82,162","84,671","86,484","88,764","91,112","92,959","93,855","94,366","94,743","94,764","94,560","94,342","94,702","94,983","95,524","96,058","96,648"
.Tehama County,"56,060","56,170","56,685","57,380","58,528","59,571","60,602","61,587","62,147","62,648","62,891","63,440","63,563","63,347","63,241","62,916","62,820","63,128","63,444","63,926"
.Trinity County,"13,011","12,980","12,859","13,064","13,210","13,159","13,440","13,634","13,648","13,656","13,762","13,780","13,749","13,677","13,482","13,422","13,122","13,092","12,839","12,709"
.Tulare County,"368,011","368,627","373,171","379,568","388,743","398,226","407,970","414,921","422,140","429,283","436,987","442,178","443,060","447,358","450,779","453,663","456,452","458,601","460,835","464,493"
.Tuolumne County,"54,522","54,658","55,253","55,850","56,513","56,602","56,788","56,680","56,339","56,320","55,845","55,365","55,188","54,832","54,237","54,018","53,852","53,589","53,787","54,248"
.Ventura County,"753,230","756,506","766,689","779,489","788,070","793,994","794,197","798,183","800,027","806,353","815,130","823,391","825,298","830,990","835,143","840,175","844,749","848,925","851,096","854,223"
.Yolo County,"168,660","169,835","175,337","180,327","182,954","185,237","186,269","189,615","194,339","197,154","199,791","200,850","201,101","202,082","204,890","206,650","208,873","212,428","215,959","219,116"
.Yuba County,"60,249","60,372","61,249","62,100","62,733","63,742","66,285","69,272","70,761","71,773","71,607","72,146","72,351","72,511","72,832","73,159","73,642","74,201","75,185","77,03"
